rank,score,kind,split,frame,box,note,verdict,reviewer
1,0.8784,class_conflict,val,SCTD__000154,0.50895 0.39235 0.94183 0.55533,model says plane @ 0.39,,
2,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_03__x1088_y3360,0.01172 0.90703 0.02344 0.03281,no prediction of this class overlaps the box,,
3,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_03__x1088_y3840,0.01172 0.15703 0.02344 0.03281,no prediction of this class overlaps the box,,
4,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_04__x1088_y1440,0.50156 0.46484 0.02500 0.02656,no prediction of this class overlaps the box,,
5,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_04__x960_y1440,0.70156 0.46484 0.02500 0.02656,no prediction of this class overlaps the box,,
6,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_08__x1088_y1440,0.92188 0.52344 0.01875 0.03125,no prediction of this class overlaps the box,,
7,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_08__x1088_y480,0.32344 0.57812 0.11250 0.11250,no prediction of this class overlaps the box,,
8,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_08__x1088_y480,0.73828 0.92266 0.10156 0.02344,no prediction of this class overlaps the box,,
9,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_08__x1088_y960,0.39062 0.31953 0.02187 0.05469,no prediction of this class overlaps the box,,
10,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_08__x960_y480,0.52344 0.57812 0.11250 0.11250,no prediction of this class overlaps the box,,
11,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_08__x960_y960,0.59062 0.31953 0.02187 0.05469,no prediction of this class overlaps the box,,
12,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_09__x0_y0,0.44062 0.12969 0.38125 0.16875,no prediction of this class overlaps the box,,
13,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_09__x1088_y1440,0.73750 0.01250 0.12187 0.02500,no prediction of this class overlaps the box,,
14,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_09__x1088_y1440,0.34375 0.52891 0.03125 0.04844,no prediction of this class overlaps the box,,
15,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_09__x1088_y1920,0.71250 0.02422 0.11875 0.04844,no prediction of this class overlaps the box,,
16,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_09__x960_y1440,0.93750 0.01250 0.12187 0.02500,no prediction of this class overlaps the box,,
17,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_09__x960_y1440,0.54375 0.52891 0.03125 0.04844,no prediction of this class overlaps the box,,
18,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_09__x960_y1920,0.91250 0.02422 0.11875 0.04844,no prediction of this class overlaps the box,,
19,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_11__x1088_y960,0.13594 0.05000 0.27187 0.10000,no prediction of this class overlaps the box,,
20,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_11__x1088_y960,0.95000 0.59922 0.10000 0.02344,no prediction of this class overlaps the box,,
21,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_11__x480_y960,0.78750 0.21328 0.32500 0.25781,no prediction of this class overlaps the box,,
22,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_11__x960_y480,0.32578 0.78906 0.29219 0.12187,no prediction of this class overlaps the box,,
23,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_11__x960_y960,0.32578 0.05000 0.29219 0.10000,no prediction of this class overlaps the box,,
24,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_11__x960_y960,0.10000 0.21328 0.20000 0.25781,no prediction of this class overlaps the box,,
25,0.7,orphan_label,train,AI4SHIPWRECKS__DM_Wilson_13__x1088_y480,0.86953 0.93281 0.08906 0.06563,no prediction of this class overlaps the box,,
