epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,80.3906,2.31898,3.19313,2.19567,0.59153,0.04825,0.03614,0.01197,2.50846,4.46242,2.41609,0.00153497,0.00153497,0.00153497
10,128.57,2.26773,3.13403,2.05084,0.62243,0.07675,0.06064,0.02284,2.31975,3.46014,2.30323,0.00151847,0.00151847,0.00151847
11,183.507,2.2084,3.07149,2.08111,0.53944,0.12061,0.03668,0.01498,2.28812,4.16545,2.27273,0.00150197,0.00150197,0.00150197
12,237.438,2.16352,2.95654,1.99365,0.56191,0.08333,0.04308,0.01508,2.31557,4.29506,2.32848,0.00148546,0.00148546,0.00148546
13,291.846,2.07374,3.12389,1.95566,0.5869,0.10965,0.05988,0.02141,2.26122,3.77626,2.26698,0.00146896,0.00146896,0.00146896
14,344.875,2.05287,2.92761,1.91035,0.62224,0.10965,0.07651,0.02449,2.25448,3.31431,2.27406,0.00145246,0.00145246,0.00145246
15,394.425,2.06905,2.83203,1.93791,0.56086,0.12036,0.05259,0.01827,2.29829,4.64767,2.32905,0.00143595,0.00143595,0.00143595
16,444.054,1.99869,2.70887,1.82528,0.60599,0.20614,0.08173,0.02685,2.03114,3.30906,2.06337,0.00141945,0.00141945,0.00141945
17,493.659,2.00893,2.75386,1.84125,0.61707,0.15132,0.0867,0.03117,2.1018,3.31541,2.07641,0.00140295,0.00140295,0.00140295
18,543.085,1.92179,2.69382,1.79042,0.61749,0.12939,0.08524,0.03241,2.13518,3.3346,2.09344,0.00138644,0.00138644,0.00138644
19,592.384,1.98808,2.67702,1.79414,0.60245,0.09211,0.06718,0.02453,2.09309,3.57306,2.10502,0.00136994,0.00136994,0.00136994
20,641.944,1.95182,2.58881,1.77693,0.63147,0.17325,0.09444,0.03668,1.99818,3.49218,1.97495,0.00135344,0.00135344,0.00135344
21,691.112,1.89973,2.63264,1.72957,0.65733,0.14474,0.1066,0.04049,2.00966,3.14111,2.01807,0.00133693,0.00133693,0.00133693
22,740.516,1.90332,2.56806,1.76411,0.62718,0.14254,0.09803,0.0358,2.02773,3.32623,2.0133,0.00132043,0.00132043,0.00132043
23,789.795,1.89537,2.57038,1.76882,0.64963,0.17763,0.1021,0.03781,1.94702,3.06874,1.974,0.00130393,0.00130393,0.00130393
24,839.465,1.89245,2.54784,1.73901,0.60751,0.15919,0.10542,0.04324,2.04469,3.34516,2.025,0.00128742,0.00128742,0.00128742
25,888.693,1.83563,2.56841,1.66599,0.62093,0.15789,0.10221,0.04094,1.93037,3.3083,1.95412,0.00127092,0.00127092,0.00127092
26,938.694,1.82391,2.45127,1.65069,0.62705,0.15789,0.11148,0.04171,2.01929,2.92612,2.01894,0.00125442,0.00125442,0.00125442
27,988.608,1.83128,2.49883,1.69254,0.63631,0.1557,0.10737,0.04176,1.98101,3.32952,2.01194,0.00123791,0.00123791,0.00123791
28,1038.94,1.83692,2.51747,1.69471,0.63445,0.17341,0.11158,0.04473,1.92648,3.14019,1.92309,0.00122141,0.00122141,0.00122141
29,1089.01,1.81624,2.40352,1.66361,0.66154,0.125,0.1193,0.04953,1.95439,3.12867,1.93062,0.00120491,0.00120491,0.00120491
30,1139.49,1.76209,2.29934,1.61524,0.64328,0.19079,0.12889,0.04775,1.93788,3.00031,1.94202,0.0011884,0.0011884,0.0011884
31,1189.2,1.81144,2.36091,1.63669,0.66044,0.18202,0.14696,0.0568,1.96429,2.81914,1.98119,0.0011719,0.0011719,0.0011719
32,1238.85,1.78611,2.3404,1.6538,0.64209,0.15351,0.13323,0.05798,1.92094,3.34762,1.9588,0.0011554,0.0011554,0.0011554
33,1288.43,1.751,2.38847,1.60366,0.62356,0.17105,0.11821,0.05652,1.88517,2.79907,1.92472,0.00113889,0.00113889,0.00113889
34,1337.99,1.71703,2.30942,1.5777,0.6439,0.15597,0.14893,0.05929,1.95148,2.99415,1.9719,0.00112239,0.00112239,0.00112239
35,1387.72,1.72062,2.28627,1.58301,0.66911,0.17325,0.14928,0.06148,2.0275,3.28266,2.00017,0.00110589,0.00110589,0.00110589
36,1438.24,1.73551,2.30858,1.6122,0.69654,0.15351,0.16116,0.0732,1.85193,2.6502,1.84739,0.00108938,0.00108938,0.00108938
37,1487.6,1.7297,2.21439,1.59995,0.6994,0.14254,0.16012,0.06727,1.86752,2.85121,1.86528,0.00107288,0.00107288,0.00107288
38,1537.2,1.70941,2.31762,1.59907,0.66953,0.17763,0.19507,0.10105,1.89096,2.95886,1.88473,0.00105638,0.00105638,0.00105638
39,1587.63,1.69916,2.24396,1.59265,0.63899,0.20175,0.14974,0.0629,1.83814,2.90362,1.8606,0.00103987,0.00103987,0.00103987
40,1637.92,1.66866,2.2353,1.55046,0.70321,0.16447,0.22547,0.09285,1.85381,2.54789,1.82001,0.00102337,0.00102337,0.00102337
41,1687.74,1.69818,2.21551,1.56804,0.69604,0.17325,0.20754,0.09133,1.84787,2.80926,1.88141,0.00100687,0.00100687,0.00100687
42,77.1741,1.70611,2.14205,1.61565,0.65587,0.18475,0.17963,0.08057,1.93499,2.6577,1.89686,0.000990365,0.000990365,0.000990365
43,123.106,1.68176,2.26052,1.56983,0.65182,0.24123,0.18702,0.08627,1.93376,2.72158,1.94642,0.000973861,0.000973861,0.000973861
44,172.272,1.64322,2.16265,1.57505,0.73827,0.18168,0.28813,0.14086,1.83539,3.03402,1.8012,0.000957358,0.000957358,0.000957358
45,217.391,1.63038,2.06797,1.53132,0.67384,0.19079,0.23149,0.11337,1.81758,2.83729,1.8185,0.000940855,0.000940855,0.000940855
46,262.063,1.59596,2.16993,1.51626,0.66778,0.20614,0.21601,0.09314,1.82266,2.69636,1.87123,0.000924352,0.000924352,0.000924352
47,307.117,1.57208,1.98147,1.50098,0.68996,0.22588,0.21414,0.10265,1.86079,2.40325,1.88596,0.000907848,0.000907848,0.000907848
48,353.121,1.6055,2.02647,1.51384,0.611,0.28289,0.3122,0.15218,1.80541,2.58063,1.83528,0.000891345,0.000891345,0.000891345
49,398.585,1.58611,1.96153,1.49067,0.69229,0.21053,0.23415,0.1227,1.74519,2.58897,1.77803,0.000874842,0.000874842,0.000874842
50,444.667,1.59984,2.01252,1.50509,0.26348,0.33626,0.23493,0.11851,1.848,2.55538,1.86278,0.000858338,0.000858338,0.000858338
51,490.815,1.5038,1.9574,1.46961,0.26327,0.46564,0.25171,0.12458,1.80621,2.46842,1.81087,0.000841835,0.000841835,0.000841835
52,559.19,1.6051,1.96414,1.49169,0.19584,0.4364,0.24311,0.12245,1.79177,2.69006,1.79999,0.000825332,0.000825332,0.000825332
53,625.732,1.53037,1.88773,1.45113,0.23741,0.42544,0.28705,0.1552,1.78369,2.37326,1.79411,0.000808828,0.000808828,0.000808828
54,691.839,1.53668,1.9323,1.43857,0.26105,0.35161,0.29756,0.15646,1.86387,2.63411,1.84049,0.000792325,0.000792325,0.000792325
55,755.496,1.53541,1.87603,1.46007,0.2226,0.33187,0.23119,0.10993,1.78381,2.60383,1.85054,0.000775822,0.000775822,0.000775822
56,820.417,1.51973,1.89143,1.45791,0.2737,0.56067,0.3814,0.20861,1.77848,2.45518,1.7762,0.000759318,0.000759318,0.000759318
57,884.536,1.52687,1.86636,1.4529,0.29047,0.51608,0.40906,0.23509,1.84343,2.7043,1.80832,0.000742815,0.000742815,0.000742815
58,949.478,1.47996,1.92998,1.40983,0.63855,0.36926,0.33908,0.18729,1.8156,2.48254,1.83709,0.000726312,0.000726312,0.000726312
59,1016.51,1.48728,1.83673,1.42163,0.32294,0.42982,0.38305,0.20167,1.82094,2.4425,1.84538,0.000709809,0.000709809,0.000709809
60,1080.82,1.48101,1.84364,1.43946,0.29324,0.3962,0.32874,0.20475,1.72154,2.46005,1.75701,0.000693305,0.000693305,0.000693305
61,1144.66,1.49365,1.91221,1.42987,0.28794,0.37208,0.25016,0.12741,1.75718,2.45341,1.78153,0.000676802,0.000676802,0.000676802
62,1207.15,1.46177,1.77187,1.4123,0.4647,0.45175,0.41243,0.24659,1.76528,2.48271,1.7943,0.000660299,0.000660299,0.000660299
63,1265.7,1.42028,1.70749,1.39301,0.34838,0.34795,0.39258,0.22149,1.78922,2.21812,1.79795,0.000643795,0.000643795,0.000643795
64,1325.4,1.47319,1.76277,1.41735,0.29573,0.34576,0.30697,0.1627,1.87864,2.77773,1.86825,0.000627292,0.000627292,0.000627292
65,1385.34,1.47277,1.74388,1.4344,0.2178,0.42132,0.29856,0.1348,1.72549,2.57128,1.77109,0.000610789,0.000610789,0.000610789
66,1445.41,1.40828,1.77492,1.37037,0.28842,0.44298,0.29382,0.13404,1.76398,2.46539,1.78512,0.000594286,0.000594286,0.000594286
67,1504.73,1.39797,1.76224,1.36275,0.68235,0.40789,0.40077,0.21546,1.761,2.42894,1.81996,0.000577782,0.000577782,0.000577782
68,1564.32,1.39072,1.72533,1.35765,0.64929,0.39529,0.39914,0.22045,1.80439,2.89433,1.8513,0.000561279,0.000561279,0.000561279
69,1623.5,1.42068,1.75751,1.3951,0.33594,0.31652,0.30507,0.1591,1.75721,2.46022,1.78587,0.000544776,0.000544776,0.000544776
70,1678.16,1.39072,1.67078,1.38334,0.66942,0.28436,0.3705,0.2117,1.7425,2.37976,1.77119,0.000528272,0.000528272,0.000528272
71,1726.46,1.37802,1.75566,1.38457,0.37858,0.37646,0.3715,0.21763,1.76405,2.50321,1.76268,0.000511769,0.000511769,0.000511769
72,1773.51,1.40319,1.72326,1.40068,0.71521,0.34211,0.42364,0.24696,1.76726,2.22188,1.76498,0.000495266,0.000495266,0.000495266
73,1820.44,1.37692,1.67632,1.3565,0.46531,0.4364,0.39573,0.21154,1.75517,2.34696,1.78356,0.000478762,0.000478762,0.000478762
74,1867.37,1.37886,1.65313,1.37034,0.57775,0.28582,0.30892,0.16247,1.76944,2.2537,1.76919,0.000462259,0.000462259,0.000462259
75,1914.01,1.41414,1.71095,1.3919,0.55253,0.29678,0.29593,0.16063,1.68894,3.0024,1.73449,0.000445756,0.000445756,0.000445756
76,1960.37,1.42726,1.70733,1.39429,0.44045,0.48319,0.39799,0.23734,1.73776,2.34951,1.74969,0.000429253,0.000429253,0.000429253
77,2006.77,1.36882,1.63256,1.36963,0.56272,0.51136,0.53117,0.29819,1.73048,2.33466,1.77485,0.000412749,0.000412749,0.000412749
78,2061.2,1.37553,1.67595,1.36912,0.48994,0.44298,0.39293,0.2156,1.72767,2.39119,1.78559,0.000396246,0.000396246,0.000396246
79,2120.89,1.38296,1.6231,1.3792,0.49875,0.28582,0.37867,0.1977,1.70852,2.26325,1.71924,0.000379743,0.000379743,0.000379743
80,2179.82,1.36553,1.61364,1.35097,0.38977,0.46278,0.36949,0.20258,1.72912,2.25831,1.75837,0.000363239,0.000363239,0.000363239
81,2238.82,1.36878,1.63244,1.34521,0.73293,0.41886,0.44669,0.2661,1.66364,2.16086,1.70112,0.000346736,0.000346736,0.000346736
82,2298.29,1.4066,1.60387,1.37605,0.52814,0.46746,0.46215,0.26595,1.69151,2.30533,1.70464,0.000330233,0.000330233,0.000330233
83,2359.07,1.35816,1.56644,1.35162,0.66003,0.49196,0.52562,0.2914,1.72043,2.27929,1.71649,0.000313729,0.000313729,0.000313729
84,2419.05,1.32174,1.58202,1.31685,0.51955,0.53216,0.52212,0.28736,1.71902,2.14672,1.7384,0.000297226,0.000297226,0.000297226
85,2479.01,1.3157,1.54445,1.31935,0.58558,0.53475,0.51163,0.31722,1.69142,2.15688,1.7056,0.000280723,0.000280723,0.000280723
86,2538.6,1.37211,1.66871,1.37515,0.61205,0.56923,0.53429,0.32456,1.704,2.16911,1.68014,0.00026422,0.00026422,0.00026422
87,2597.7,1.37053,1.60491,1.35489,0.51666,0.52455,0.44626,0.25864,1.68504,2.12072,1.69534,0.000247716,0.000247716,0.000247716
88,2660.69,1.32384,1.54312,1.31797,0.47875,0.45409,0.43986,0.26802,1.70982,2.07521,1.68245,0.000231213,0.000231213,0.000231213
89,2726.66,1.27593,1.52724,1.29353,0.61449,0.47661,0.49043,0.26889,1.7009,2.18704,1.68889,0.00021471,0.00021471,0.00021471
90,2791.9,1.31813,1.52534,1.33925,0.47926,0.50292,0.49202,0.27767,1.73513,2.12427,1.69497,0.000198206,0.000198206,0.000198206
91,2858.54,1.17946,1.4027,1.23294,0.6249,0.44757,0.48881,0.29215,1.66504,2.13058,1.66418,0.000181703,0.000181703,0.000181703
92,2914.75,1.17563,1.34696,1.22251,0.50256,0.52997,0.51642,0.30464,1.69913,2.0992,1.6805,0.0001652,0.0001652,0.0001652
93,2973.72,1.19053,1.3644,1.24997,0.51345,0.53216,0.50649,0.29432,1.72007,2.07653,1.70437,0.000148696,0.000148696,0.000148696
94,3032.1,1.16709,1.39225,1.2445,0.65084,0.50804,0.55267,0.30298,1.71198,2.1353,1.69598,0.000132193,0.000132193,0.000132193
95,3089.16,1.14852,1.29623,1.18497,0.53741,0.57338,0.5316,0.31239,1.7196,2.04641,1.70422,0.00011569,0.00011569,0.00011569
96,3147.45,1.13866,1.31409,1.2387,0.63149,0.51206,0.55128,0.33442,1.68713,1.98375,1.68147,9.91865e-05,9.91865e-05,9.91865e-05
97,3206.04,1.12995,1.26928,1.21563,0.58023,0.57456,0.53128,0.31214,1.69161,2.03393,1.67579,8.26832e-05,8.26832e-05,8.26832e-05
98,3262.34,1.14204,1.28961,1.20652,0.60368,0.49585,0.48603,0.27948,1.69069,2.06126,1.66975,6.61799e-05,6.61799e-05,6.61799e-05
99,3319.99,1.11635,1.23038,1.19823,0.58878,0.50146,0.50769,0.30564,1.71178,2.06323,1.7162,4.96766e-05,4.96766e-05,4.96766e-05
100,3376.79,1.12982,1.27652,1.19928,0.59796,0.51901,0.50196,0.29572,1.71716,2.04158,1.71158,3.31733e-05,3.31733e-05,3.31733e-05
