epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,768.499,2.43821,4.10112,1.90745,0.00602,0.2497,0.00583,0.00157,2.83239,208.677,1.9296,0.000416434,0.000416434,0.000416434
2,1393.78,2.42135,2.96478,1.95811,0.82066,0.07729,0.06658,0.02228,2.65929,2.94092,1.74103,0.000812481,0.000812481,0.000812481
3,2156.69,2.377,2.85817,1.92964,0.60171,0.07872,0.05922,0.01921,2.49285,3.04551,1.65568,0.0011879,0.0011879,0.0011879
4,3029.14,2.30622,2.73284,1.87899,0.60988,0.12273,0.09292,0.03024,2.57846,2.57585,1.64755,0.00115719,0.00115719,0.00115719
5,3945.17,2.26536,2.67587,1.84606,0.60431,0.13076,0.08295,0.02486,2.50773,2.60531,1.5837,0.00112625,0.00112625,0.00112625
6,523.234,2.20631,2.57123,1.80918,0.63537,0.16038,0.10611,0.03591,2.43124,2.62663,1.58544,0.00109531,0.00109531,0.00109531
7,940.984,2.1815,2.55402,1.80989,0.62933,0.14356,0.10536,0.03309,2.51402,2.54778,1.62422,0.00106437,0.00106437,0.00106437
8,1295.98,2.13111,2.47071,1.74447,0.54984,0.14987,0.11669,0.03911,2.34995,2.54347,1.544,0.00103344,0.00103344,0.00103344
9,1671.06,2.11673,2.41938,1.74818,0.70612,0.13406,0.16389,0.05594,2.48017,2.30864,1.55252,0.0010025,0.0010025,0.0010025
10,2042.39,2.10492,2.40351,1.7298,0.65849,0.15997,0.14283,0.04594,2.44658,2.51178,1.55761,0.000971562,0.000971562,0.000971562
11,409.767,2.06524,2.34962,1.7183,0.52358,0.15566,0.1209,0.04113,2.45849,2.53466,1.56697,0.000940625,0.000940625,0.000940625
12,809.83,2.04556,2.34726,1.71414,0.6706,0.16715,0.14072,0.04409,2.43061,2.35821,1.54209,0.000909688,0.000909688,0.000909688
13,1237.03,2.01037,2.28184,1.66414,0.45928,0.19562,0.15346,0.05001,2.42916,2.19011,1.54645,0.00087875,0.00087875,0.00087875
14,1645.04,1.99963,2.24182,1.67641,0.48512,0.18579,0.17144,0.05443,2.49176,2.26253,1.54737,0.000847813,0.000847813,0.000847813
15,2020.74,2.00213,2.22965,1.6626,0.57517,0.19524,0.17716,0.06497,2.39394,2.15624,1.50879,0.000816875,0.000816875,0.000816875
16,442.668,1.96538,2.19649,1.64872,0.40705,0.19372,0.12965,0.04512,2.4491,2.37008,1.52947,0.000785938,0.000785938,0.000785938
17,809.163,1.9396,2.1751,1.64263,0.47135,0.17307,0.15025,0.04894,2.42678,2.29101,1.52626,0.000755,0.000755,0.000755
18,391.057,1.87373,2.08499,1.59244,0.44828,0.19037,0.13502,0.04547,2.40702,2.45797,1.53264,0.000724062,0.000724062,0.000724062
19,817.367,1.84261,2.04823,1.58562,0.47935,0.21871,0.16221,0.0534,2.39468,2.25548,1.54118,0.000693125,0.000693125,0.000693125
20,1483.82,1.91856,2.10575,1.60586,0.50271,0.21056,0.18256,0.06564,2.39117,2.1176,1.52569,0.000662188,0.000662188,0.000662188
21,2393.85,1.90331,2.08491,1.60558,0.45278,0.24918,0.18551,0.0682,2.48927,2.19496,1.54372,0.00063125,0.00063125,0.00063125
22,670.988,1.80929,1.98332,1.55499,0.44423,0.22439,0.15947,0.05671,2.41341,2.27997,1.50556,0.000600313,0.000600313,0.000600313
22,772.869,1.80929,1.98332,1.55499,0.44423,0.22439,0.15947,0.05671,2.41341,2.27997,1.50556,0.000600313,0.000600313,0.000600313
23,11277.1,1.76802,1.93426,1.53906,0.4523,0.21991,0.16345,0.05738,2.42414,2.26772,1.543,0.000569375,0.000569375,0.000569375
24,11692.2,1.80994,1.94979,1.5429,0.23897,0.30333,0.19885,0.07042,2.43214,2.17529,1.53993,0.000538438,0.000538438,0.000538438
25,486.964,1.72855,1.85658,1.4987,0.17345,0.28388,0.16287,0.05602,2.36778,2.51845,1.50246,0.0005075,0.0005075,0.0005075
