epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,679.106,2.43285,4.64778,1.88886,0.55738,0.0447,0.03087,0.01174,1.81305,2.74097,1.26463,0.00041649,0.00041649,0.00041649
2,1283.3,2.43515,3.09036,1.93095,0.32701,0.07322,0.05257,0.01605,1.89671,2.7488,1.27773,0.000812537,0.000812537,0.000812537
3,1780.81,2.37045,2.96915,1.89295,0.52157,0.2612,0.05623,0.01897,1.79927,6.43992,1.22637,0.00118796,0.00118796,0.00118796
4,2284.79,2.31147,2.87629,1.86558,0.81629,0.09765,0.06719,0.01909,1.82917,2.20451,1.22926,0.00115719,0.00115719,0.00115719
5,2784.5,2.26679,2.77047,1.84402,0.59467,0.13694,0.07639,0.02476,1.73482,5.81118,1.19277,0.00112625,0.00112625,0.00112625
6,3288.45,2.23112,2.71001,1.81138,0.6057,0.12353,0.09055,0.02472,1.82223,2.19342,1.20998,0.00109531,0.00109531,0.00109531
7,3791.81,2.18807,2.65042,1.77653,0.62266,0.11179,0.10771,0.03301,1.70808,2.23615,1.17686,0.00106437,0.00106437,0.00106437
8,4292.09,2.1451,2.5695,1.75553,0.65596,0.11082,0.13342,0.04794,1.61133,2.33103,1.13263,0.00103344,0.00103344,0.00103344
9,4792.49,2.13488,2.53225,1.73762,0.64556,0.14568,0.14344,0.04794,1.59797,2.40867,1.11368,0.0010025,0.0010025,0.0010025
10,5291.14,2.12594,2.48587,1.71028,0.4411,0.21395,0.13206,0.04091,1.68628,2.20372,1.1452,0.000971562,0.000971562,0.000971562
11,5790.93,2.11652,2.47091,1.72534,0.41833,0.16572,0.09992,0.03417,1.64,2.52203,1.14821,0.000940625,0.000940625,0.000940625
12,6305.89,2.06841,2.41804,1.69932,0.54005,0.15095,0.1283,0.04081,1.71313,2.20354,1.15372,0.000909688,0.000909688,0.000909688
13,6799.29,2.05444,2.40376,1.68259,0.65269,0.1382,0.1252,0.0436,1.62316,2.4056,1.10637,0.00087875,0.00087875,0.00087875
14,7265.85,2.05612,2.38978,1.68647,0.45439,0.22914,0.13165,0.04462,1.6079,2.16633,1.09346,0.000847813,0.000847813,0.000847813
