epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,986.225,2.02194,3.56327,1.85302,0.28631,0.0402,0.06176,0.02323,2.05411,4.43587,1.43011,0.00999712,0.00333237,0.00999712,0.00333237,0.00999712,0.00333237,0.00999712,0.00333237
2,1784.02,2.05213,2.96399,1.84175,0.27757,0.04815,0.04738,0.01407,2.12064,3.82139,1.61998,0.0196672,0.00655572,0.0196672,0.00655572,0.0196672,0.00655572,0.0196672,0.00655572
3,2574.1,2.17161,3.11801,1.97579,0.00896,0.41636,0.01771,0.00533,2.20016,4.07647,1.59226,0.0290072,0.00966907,0.0290072,0.00966907,0.0290072,0.00966907,0.0290072,0.00966907
4,3333.4,2.16833,3.05934,1.99279,0.22244,0.13931,0.02048,0.00591,2.25749,3.99936,1.66345,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,4089.05,2.06928,2.82184,1.90447,0.26509,0.09172,0.0266,0.00918,2.19382,5.12499,1.57517,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,4847.53,1.95356,2.64399,1.81567,0.2801,0.11133,0.0881,0.02904,2.06,2.93505,1.47933,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,5617.74,1.92198,2.55104,1.79355,0.08632,0.14381,0.07195,0.02504,1.98942,3.20708,1.4642,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,6407.33,1.86138,2.45807,1.7503,0.11562,0.12672,0.07691,0.01947,2.12945,2.96871,1.47633,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,7169.81,1.83993,2.40147,1.7143,0.06966,0.0939,0.07099,0.02311,2.02686,3.04267,1.44467,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,7921.34,1.78662,2.30549,1.68551,0.33148,0.16141,0.11342,0.03861,1.9143,3.09349,1.36939,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,8673.88,1.75404,2.26163,1.6627,0.35536,0.18462,0.10266,0.03545,1.96495,2.73521,1.38794,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,9421.45,1.74171,2.20249,1.64719,0.33082,0.12344,0.11019,0.04114,1.92392,2.93623,1.39804,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,10164.1,1.71683,2.18278,1.62878,0.12282,0.15979,0.12528,0.0477,1.78312,2.61864,1.30669,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,10906.9,1.68438,2.10131,1.60172,0.14128,0.13357,0.09964,0.03855,1.89076,2.9504,1.34589,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,11659.7,1.67213,2.09711,1.59732,0.17349,0.21523,0.14183,0.05521,1.8771,2.56399,1.31439,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,12531,1.65392,2.06055,1.58197,0.15271,0.18368,0.10066,0.03843,1.97267,2.91422,1.36273,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,13398.5,1.62126,2.02129,1.56812,0.19062,0.16397,0.13018,0.04751,1.93603,2.57847,1.33329,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,14262.5,1.62697,2.00759,1.55535,0.16928,0.18823,0.15415,0.05692,1.8598,2.48318,1.31716,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,15191.8,1.60107,1.94974,1.54207,0.19634,0.22536,0.15302,0.06479,1.79783,2.52443,1.26905,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,16049.3,1.59544,1.91477,1.54175,0.19014,0.21754,0.17184,0.06336,1.9048,2.44449,1.34037,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,16924.8,1.5934,1.9124,1.52372,0.14801,0.19991,0.14982,0.05872,1.88019,2.47739,1.30328,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,17798.1,1.55675,1.88305,1.50615,0.14546,0.1833,0.15962,0.05342,1.90116,2.30257,1.33768,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,18660.2,1.54033,1.8563,1.50585,0.20987,0.25969,0.18469,0.07096,1.83074,2.22552,1.29429,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,19504.1,1.54394,1.84324,1.49127,0.23045,0.20303,0.17003,0.06408,1.84025,2.47289,1.27968,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,20431.3,1.53341,1.8263,1.48732,0.24589,0.23539,0.16677,0.06316,1.80889,2.19994,1.26614,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,21294.9,1.52222,1.82425,1.48051,0.22958,0.28357,0.1997,0.07672,1.85979,2.34432,1.28004,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,22086.8,1.48901,1.75201,1.46553,0.35475,0.20973,0.19464,0.07914,1.79911,2.19706,1.261,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,22877.9,1.50377,1.74337,1.4607,0.21335,0.24282,0.19886,0.07615,1.77133,2.13066,1.23591,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,23669.1,1.47554,1.72221,1.4438,0.28745,0.25821,0.2117,0.08734,1.77668,2.12411,1.24653,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,24459.7,1.47167,1.70935,1.44829,0.2566,0.25626,0.19478,0.0706,1.83298,2.17143,1.26821,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,25251.2,1.48524,1.71227,1.45208,0.25799,0.27204,0.21223,0.08149,1.78657,2.03304,1.24786,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,26043.5,1.46306,1.6962,1.4405,0.22364,0.22844,0.18545,0.07664,1.78741,2.07116,1.25083,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,26833.5,1.44076,1.66922,1.41725,0.25429,0.30051,0.19831,0.07971,1.81721,2.12051,1.26574,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,27623.6,1.44624,1.64758,1.42649,0.28354,0.27422,0.22941,0.09748,1.8034,2.1158,1.26197,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,28414.8,1.44396,1.6475,1.41267,0.33984,0.26341,0.22606,0.09294,1.78573,2.06394,1.23521,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,29205.2,1.42644,1.64455,1.41168,0.27927,0.35316,0.24234,0.09733,1.76157,2.18275,1.23425,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,29996.4,1.41822,1.60507,1.40579,0.29655,0.27478,0.23995,0.10821,1.75438,2.07126,1.22367,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,30786.1,1.40692,1.59187,1.39978,0.38222,0.27257,0.27029,0.12849,1.76954,2.00971,1.22751,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,31576.4,1.39503,1.5748,1.39174,0.25989,0.28245,0.22946,0.10206,1.75204,1.99344,1.20622,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,32374.2,1.38192,1.55624,1.37694,0.27637,0.30465,0.22669,0.09854,1.7656,1.99146,1.22305,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,33166.7,1.39294,1.56404,1.38209,0.36906,0.24623,0.23998,0.10222,1.7694,2.0143,1.23124,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,33958.9,1.37168,1.53272,1.36853,0.30546,0.28319,0.24989,0.10491,1.75118,2.06878,1.21455,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,34751.8,1.38207,1.5344,1.36775,0.33706,0.30836,0.26045,0.11242,1.76804,1.99824,1.22391,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,35542.8,1.34719,1.48019,1.35664,0.3434,0.29875,0.26986,0.11903,1.75795,1.97173,1.2166,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,36334.9,1.34189,1.48706,1.34106,0.33008,0.3591,0.28145,0.11803,1.76767,1.92532,1.2174,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,37126.1,1.31508,1.45259,1.34256,0.32724,0.29444,0.28537,0.13258,1.77511,1.906,1.22664,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,37918.6,1.31315,1.44719,1.33183,0.2883,0.38275,0.28892,0.1297,1.78411,1.8942,1.22864,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,38709.4,1.3112,1.42438,1.34003,0.29846,0.33317,0.27356,0.1207,1.78108,1.89822,1.23575,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,39498.8,1.31012,1.42407,1.32886,0.31731,0.37883,0.28503,0.12133,1.7759,1.90458,1.23065,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,40288.8,1.3048,1.41392,1.32928,0.29512,0.38061,0.29363,0.12744,1.77362,1.92496,1.2284,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,41035.9,1.33487,1.40985,1.33462,0.27187,0.34666,0.28745,0.12622,1.78388,1.91414,1.23456,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,41784,1.31617,1.38939,1.32132,0.28026,0.35385,0.27575,0.1228,1.79154,1.89724,1.24312,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,42534,1.30394,1.36198,1.30993,0.27052,0.3633,0.26868,0.12392,1.78908,1.89369,1.24512,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,43283,1.28178,1.31865,1.30481,0.29507,0.32262,0.27367,0.12503,1.79393,1.90231,1.24537,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,44030.4,1.2713,1.31083,1.2827,0.29839,0.32339,0.27278,0.13294,1.79107,1.91867,1.24403,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,44776.9,1.27415,1.28799,1.2836,0.27444,0.35163,0.26088,0.13081,1.7921,1.9245,1.24448,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,45527.4,1.27279,1.30024,1.28855,0.268,0.36015,0.26012,0.12873,1.79573,1.92876,1.2468,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,46277.6,1.24306,1.26411,1.27081,0.27158,0.36182,0.26701,0.13036,1.80079,1.92948,1.24944,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,47019.4,1.25569,1.27304,1.27183,0.27737,0.36154,0.26729,0.12837,1.80128,1.92991,1.25037,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,47687.4,1.22639,1.22809,1.25018,0.29269,0.38624,0.27478,0.12382,1.80381,1.93175,1.25298,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
