epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,954.914,2.18755,4.05946,2.00062,0.01259,0.38,0.0153,0.00403,2.13144,3.89745,1.59262,0.000370227,0.000370227,0.000370227
2,1783.13,2.09969,3.11156,1.92897,0.01014,0.57407,0.04568,0.01219,2.09975,3.77182,1.55018,0.000722231,0.000722231,0.000722231
3,2636.49,2.02767,2.91279,1.86928,0.03125,0.24468,0.03119,0.0099,2.16827,3.96635,1.55771,0.0010559,0.0010559,0.0010559
4,3448.27,1.93639,2.74163,1.80287,0.30345,0.08527,0.05827,0.01838,1.99331,2.94649,1.42616,0.00102851,0.00102851,0.00102851
5,4294.02,1.88846,2.6244,1.75126,0.29797,0.08786,0.05404,0.01734,1.93755,2.98827,1.3896,0.00100101,0.00100101,0.00100101
6,5135.09,1.81663,2.49247,1.7007,0.32775,0.12017,0.08447,0.02978,1.95079,2.95165,1.40055,0.000973514,0.000973514,0.000973514
7,5993,1.78326,2.42884,1.6813,0.30757,0.11395,0.08427,0.02915,1.85913,3.22868,1.36245,0.000946016,0.000946016,0.000946016
8,6858.87,1.7656,2.4029,1.66907,0.13021,0.14739,0.07385,0.02381,1.97351,2.93003,1.42816,0.000918519,0.000918519,0.000918519
9,7730.78,1.73993,2.32223,1.64411,0.33063,0.10528,0.10232,0.03432,1.93665,2.63339,1.37398,0.000891022,0.000891022,0.000891022
10,8607.84,1.70734,2.25418,1.6211,0.18897,0.14134,0.11187,0.03863,1.90196,2.7858,1.35898,0.000863525,0.000863525,0.000863525
11,9469.88,1.68073,2.225,1.60473,0.52543,0.1592,0.14195,0.05237,1.80236,2.6391,1.31378,0.000836027,0.000836027,0.000836027
12,10330,1.66848,2.16093,1.59233,0.35646,0.11806,0.1169,0.04562,1.849,2.53818,1.32534,0.00080853,0.00080853,0.00080853
13,11167.1,1.65276,2.14245,1.58689,0.30098,0.16229,0.1782,0.0679,1.82398,2.46437,1.31829,0.000781033,0.000781033,0.000781033
14,11969.9,1.63242,2.07801,1.56185,0.36785,0.13211,0.141,0.05476,1.7905,2.60175,1.26799,0.000753536,0.000753536,0.000753536
15,12706.4,1.61275,2.06016,1.56457,0.46461,0.1626,0.18558,0.07049,1.87399,2.43975,1.30565,0.000726038,0.000726038,0.000726038
16,13395.6,1.59493,2.04015,1.53688,0.10726,0.15352,0.1162,0.04279,1.84151,2.72333,1.28901,0.000698541,0.000698541,0.000698541
17,14067,1.56943,1.99522,1.52823,0.36678,0.18975,0.17876,0.062,1.87261,2.58597,1.29709,0.000671044,0.000671044,0.000671044
18,14739.9,1.587,1.99845,1.52448,0.24327,0.22345,0.16684,0.06158,1.82729,2.41508,1.28901,0.000643547,0.000643547,0.000643547
19,15413.8,1.56006,1.92778,1.51054,0.40315,0.23527,0.21196,0.0719,1.79724,2.4902,1.2741,0.000616049,0.000616049,0.000616049
20,16089,1.54171,1.90757,1.50293,0.25622,0.23113,0.20308,0.07722,1.80416,2.47958,1.27485,0.000588552,0.000588552,0.000588552
21,16765,1.53645,1.89103,1.49057,0.26706,0.26157,0.19568,0.07604,1.80181,2.29148,1.26649,0.000561055,0.000561055,0.000561055
22,17440.8,1.51563,1.86398,1.48643,0.22114,0.21253,0.179,0.06136,1.91274,2.28062,1.32314,0.000533558,0.000533558,0.000533558
23,18118.3,1.48933,1.83869,1.47738,0.33983,0.24004,0.22025,0.07988,1.84301,2.30697,1.28975,0.00050606,0.00050606,0.00050606
24,18797.9,1.49668,1.82524,1.46758,0.30524,0.23436,0.23574,0.08927,1.81031,2.28254,1.24034,0.000478563,0.000478563,0.000478563
25,19477.4,1.48701,1.7967,1.4606,0.3685,0.21039,0.23411,0.08156,1.79808,2.13132,1.25886,0.000451066,0.000451066,0.000451066
26,20155.7,1.47155,1.79545,1.45565,0.26308,0.23249,0.22899,0.08226,1.83373,2.25975,1.27454,0.000423569,0.000423569,0.000423569
27,20835.8,1.44671,1.72768,1.44435,0.38078,0.21421,0.22971,0.08283,1.81946,2.28808,1.27036,0.000396071,0.000396071,0.000396071
28,21515.3,1.44452,1.72033,1.43154,0.27649,0.22444,0.21007,0.07693,1.81568,2.23101,1.26916,0.000368574,0.000368574,0.000368574
29,22192,1.43255,1.6923,1.42503,0.25814,0.27456,0.23989,0.08472,1.77226,2.29576,1.24689,0.000341077,0.000341077,0.000341077
30,22868.1,1.42111,1.68632,1.4198,0.23088,0.32967,0.20893,0.07497,1.84034,2.14962,1.27,0.00031358,0.00031358,0.00031358
31,23506.7,1.47015,1.71636,1.44957,0.24729,0.29966,0.22224,0.08136,1.7883,2.10879,1.23724,0.000286083,0.000286083,0.000286083
32,24143.8,1.45204,1.65832,1.42671,0.21356,0.31272,0.22767,0.0828,1.79686,2.13772,1.24361,0.000258585,0.000258585,0.000258585
33,24780.3,1.43602,1.64823,1.41551,0.24092,0.26736,0.22247,0.07822,1.80774,2.09359,1.24453,0.000231088,0.000231088,0.000231088
34,25415.5,1.42058,1.60628,1.40691,0.28793,0.32202,0.24487,0.08549,1.82142,2.14366,1.24785,0.000203591,0.000203591,0.000203591
35,26053.1,1.41558,1.57971,1.40147,0.27088,0.25083,0.23096,0.07971,1.81094,2.15429,1.24837,0.000176094,0.000176094,0.000176094
36,26689.7,1.3941,1.56428,1.37955,0.24609,0.31366,0.23128,0.07947,1.81165,2.11709,1.23642,0.000148596,0.000148596,0.000148596
