epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6511,2.6108,5.20365,3.43109,2.46104,0,0.00485,0.36364,0.00189,0.00042,0,0,0,0,3.26815,3.34182,7.97574,3.13515,0,0.000615385,0.000615385,0.000615385
2,37.6214,2.64044,5.01957,3.45573,2.50113,0,0.00545,0.40909,0.00223,0.00059,0,0,0,0,3.1585,3.10512,8.33502,2.99952,0,0.00127782,0.00127782,0.00127782
3,41.5607,2.67671,4.99321,3.44917,2.56477,0,0.00606,0.45455,0.00285,0.00062,0,0,0,0,3.07361,2.84495,9.58075,2.91738,0,0.00193586,0.00193586,0.00193586
4,45.4682,2.77046,5.09329,3.64246,2.58958,0,0.00908,0.09091,0.00336,0.00069,0,0,0,0,3.27044,2.76115,9.15076,2.93867,0,0.0019802,0.0019802,0.0019802
5,49.4524,2.50919,5.11866,3.37346,2.42794,0,0.04398,0.02273,0.00669,0.00133,0,0,0,0,3.22322,2.8289,8.35111,2.91581,0,0.0019736,0.0019736,0.0019736
6,53.9264,2.713,5.11786,3.34655,2.51025,0,0.04398,0.02273,0.00669,0.00133,0,0,0,0,3.22322,2.8289,8.35111,2.91581,0,0.001967,0.001967,0.001967
7,59.1389,3.3099,4.58847,14.3104,2.96398,0,0.00543,0.13636,0.00078,0.00015,0,0,0,0,4.55443,1157.56,207.671,85.0332,0,0.0019604,0.0019604,0.0019604
8,64.9638,3.35162,4.55094,15.2636,2.88952,0,0.01087,0.09091,0.00432,0.00068,0,0,0,0,4.02733,345.121,139.754,37.5952,0,0.0019538,0.0019538,0.0019538
9,70.5217,3.30445,4.37237,11.1731,2.97058,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019472,0.0019472,0.0019472
10,76.0539,3.13455,3.69176,4.90326,3.11107,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019406,0.0019406,0.0019406
11,81.5276,3.13826,4.50367,4.37265,3.02634,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.001934,0.001934,0.001934
12,87.1098,3.0614,3.45975,3.38915,3.0642,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019274,0.0019274,0.0019274
13,92.6165,3.0331,3.62352,3.09917,3.01263,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019208,0.0019208,0.0019208
14,98.2122,3.22394,3.82299,3.09738,3.12312,0,0.00121,0.02273,0.0002,4e-05,0,0,0,0,nan,nan,nan,nan,0,0.0019142,0.0019142,0.0019142
15,103.738,3.0618,3.45117,2.97299,3.08288,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019076,0.0019076,0.0019076
16,109.277,2.93957,3.43282,2.94494,3.05117,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.001901,0.001901,0.001901
17,114.936,2.88989,3.15703,2.8489,2.91101,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0018944,0.0018944,0.0018944
18,120.401,2.8579,2.93756,2.7935,2.9092,0,0.00917,0.02273,0.00049,0.0001,0,0,0,0,nan,nan,nan,nan,0,0.0018878,0.0018878,0.0018878
19,126.147,2.85293,3.06761,2.81722,2.89068,0,0.00038,0.02273,0.00018,4e-05,0,0,0,0,6.21297,4112.17,7331.02,802.31,0,0.0018812,0.0018812,0.0018812
20,131.718,2.84487,3.01615,2.78689,2.90131,0,0.00042,0.02273,2e-05,0,0,0,0,0,4.85358,715.125,52.2601,86.6769,0,0.0018746,0.0018746,0.0018746
21,137.327,2.76778,2.79937,2.65168,2.8796,0,0.00504,0.11364,0.00277,0.00048,0,0,0,0,3.98738,8.40723,5.5991,5.88412,0,0.001868,0.001868,0.001868
