epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6016,2.6108,5.20365,3.43109,2.46104,0,0.00485,0.36364,0.00189,0.00042,0,0,0,0,3.26815,3.34182,7.97574,3.13515,0,0.000615385,0.000615385,0.000615385
2,40.598,2.64044,5.01957,3.45573,2.50113,0,0.00545,0.40909,0.00223,0.00059,0,0,0,0,3.1585,3.10512,8.33502,2.99952,0,0.00128078,0.00128078,0.00128078
3,45.6813,2.67671,4.99321,3.44917,2.56477,0,0.00606,0.45455,0.00285,0.00062,0,0,0,0,3.07361,2.84495,9.58075,2.91738,0,0.00194486,0.00194486,0.00194486
4,50.7786,2.77046,5.09329,3.64246,2.58958,0,0.00908,0.09091,0.00336,0.00069,0,0,0,0,3.27044,2.76115,9.15076,2.93867,0,0.00199406,0.00199406,0.00199406
5,55.8067,2.50919,5.11866,3.37346,2.42794,0,0.04398,0.02273,0.00669,0.00133,0,0,0,0,3.22322,2.8289,8.35111,2.91581,0,0.00199208,0.00199208,0.00199208
6,60.9495,2.713,5.11786,3.34655,2.51025,0,0.04398,0.02273,0.00669,0.00133,0,0,0,0,3.22322,2.8289,8.35111,2.91581,0,0.0019901,0.0019901,0.0019901
7,66.1888,3.32257,4.61053,14.5446,2.97355,0,0.01287,0.15909,0.00512,0.00066,0,0,0,0,4.39974,1172.88,204.628,91.7198,0,0.00198812,0.00198812,0.00198812
8,71.9164,3.36113,4.56832,15.5776,2.90172,0,0.00819,0.20455,0.00427,0.00081,0,0,0,0,4.06222,356.735,133.515,41.2121,0,0.00198614,0.00198614,0.00198614
9,77.6061,3.3289,4.41525,11.3821,2.99881,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198416,0.00198416,0.00198416
10,83.1139,3.1705,3.74562,5.03301,3.14312,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198218,0.00198218,0.00198218
11,88.7641,3.12881,4.71716,3.87937,3.08779,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019802,0.0019802,0.0019802
12,94.2678,3.10078,3.67384,3.29649,3.07893,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197822,0.00197822,0.00197822
13,99.7078,3.05299,3.50902,3.06182,3.09265,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197624,0.00197624,0.00197624
14,105.103,3.17079,3.40323,3.05947,3.15602,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197426,0.00197426,0.00197426
15,110.468,3.03019,3.3937,2.96674,3.076,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197228,0.00197228,0.00197228
16,115.997,2.91855,3.19354,2.92663,3.02067,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019703,0.0019703,0.0019703
17,121.891,2.89316,3.05618,2.82994,2.91516,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196832,0.00196832,0.00196832
18,127.586,2.77251,2.91316,2.82026,2.89757,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196634,0.00196634,0.00196634
19,133.168,2.77258,3.01258,2.73471,2.88436,0,0,0,0,0,0,0,0,0,5.50545,105.174,481.694,34.7156,0,0.00196436,0.00196436,0.00196436
20,138.689,2.83881,2.97693,2.70283,2.91785,0,0,0,0,0,0,0,0,0,6.15063,40.4187,7.23337,22.712,0,0.00196238,0.00196238,0.00196238
21,144.302,2.72596,2.94672,2.6317,2.92079,0,0.00035,0.02273,3e-05,1e-05,0,0,0,0,5.04792,35.7158,5.27344,14.1515,0,0.0019604,0.0019604,0.0019604
22,149.824,2.6218,2.76498,2.57754,2.80286,0,0.00035,0.02273,3e-05,1e-05,0,0,0,0,5.04792,35.7158,5.27344,14.1515,0,0.00195842,0.00195842,0.00195842
23,155.305,2.69042,2.82786,2.61416,2.83578,0,0,0,0,0,0,0,0,0,4.80022,3.17605,5.32229,6.29083,0,0.00195644,0.00195644,0.00195644
24,160.745,2.65069,2.87765,2.60465,2.76001,0,0.00062,0.02273,3e-05,0,0,0,0,0,4.25291,47.3505,5.54054,11.2837,0,0.00195446,0.00195446,0.00195446
25,166.249,2.72854,2.85424,2.66215,2.8195,0,0.00547,0.34091,0.00294,0.00059,0,0,0,0,3.64771,2.6946,4.00553,4.38165,0,0.00195248,0.00195248,0.00195248
26,171.83,2.5953,2.78668,2.5828,2.75367,0,0.00382,0.27273,0.00201,0.00031,0,0,0,0,3.56434,2.26303,4.1094,4.07941,0,0.0019505,0.0019505,0.0019505
27,177.573,2.53771,2.67183,2.54141,2.72044,0,0.00382,0.27273,0.00201,0.00031,0,0,0,0,3.56434,2.26303,4.1094,4.07941,0,0.00194852,0.00194852,0.00194852
28,183.153,2.56383,2.6474,2.51698,2.72517,0,0.0138,0.61364,0.01494,0.00317,0,0,0,0,3.21464,2.09013,3.34606,3.32518,0,0.00194654,0.00194654,0.00194654
29,188.862,2.60105,2.63073,2.55897,2.74811,0,0.01874,0.56818,0.02346,0.00461,0,0,0,0,3.23037,2.10943,3.30858,3.47864,0,0.00194456,0.00194456,0.00194456
30,194.501,2.5237,2.4957,2.54055,2.63329,0,0.04259,0.38636,0.03095,0.00625,0,0,0,0,3.09118,2.15717,3.11404,3.39159,0,0.00194258,0.00194258,0.00194258
31,200.135,2.5141,2.67481,2.59854,2.68121,0,0.01131,0.22727,0.01269,0.00271,0,0,0,0,3.08502,2.27507,4.01651,3.5151,0,0.0019406,0.0019406,0.0019406
32,205.707,2.48367,2.59363,2.52029,2.67099,0,0.01131,0.22727,0.01269,0.00271,0,0,0,0,3.08502,2.27507,4.01651,3.5151,0,0.00193862,0.00193862,0.00193862
33,211.415,2.45332,2.70355,2.51351,2.65416,0,0.05233,0.13636,0.03013,0.00693,0,0,0,0,2.89419,2.20459,3.48747,3.18743,0,0.00193664,0.00193664,0.00193664
34,217.092,2.41284,2.57387,2.51111,2.62215,0,0.08983,0.1257,0.0518,0.01058,0,0,0,0,2.88108,2.21472,2.98891,3.12471,0,0.00193466,0.00193466,0.00193466
35,222.763,2.45526,2.7096,2.46064,2.61754,0,0.04224,0.09091,0.04888,0.00848,0,0,0,0,3.24541,3.57813,3.09761,4.09484,0,0.00193268,0.00193268,0.00193268
36,228.442,2.50977,2.65041,2.48447,2.61303,0,0.05755,0.31818,0.02921,0.00636,0.00031,0.02273,1e-05,0,3.73019,10.9638,3.3826,6.19626,0,0.0019307,0.0019307,0.0019307
37,233.989,2.47827,2.43129,2.47562,2.6332,0,0.16208,0.11364,0.10435,0.02264,0.00115,0.04545,0.0004,4e-05,3.32808,15.2701,3.13138,6.37544,0,0.00192872,0.00192872,0.00192872
38,239.891,2.38306,2.56003,2.4792,2.57297,0,0.16208,0.11364,0.10435,0.02264,0.00115,0.04545,0.0004,4e-05,3.32808,15.2701,3.13138,6.37544,0,0.00192674,0.00192674,0.00192674
39,245.556,2.42482,2.46548,2.49874,2.56565,0,0.18669,0.13636,0.06118,0.01316,0.00226,0.09091,0.00031,4e-05,3.36388,9.44091,3.36126,5.90951,0,0.00192476,0.00192476,0.00192476
40,251.175,2.44497,2.52918,2.49224,2.55256,0,0.06983,0.22727,0.08,0.02859,0.00121,0.09091,0.00028,3e-05,3.16506,10.5396,3.17675,5.04659,0,0.00192278,0.00192278,0.00192278
41,256.676,2.4601,2.56892,2.53444,2.56917,0,0.15543,0.22588,0.1392,0.04183,0.0003,0.02273,1e-05,0,2.99793,19.483,3.23737,4.70216,0,0.0019208,0.0019208,0.0019208
42,262.351,2.3949,2.52327,2.58865,2.55501,0,0.31913,0.15909,0.15208,0.03116,0.00031,0.02273,3e-05,0,2.97313,11.6257,3.2456,3.66053,0,0.00191882,0.00191882,0.00191882
43,268.061,2.3469,2.51262,2.48942,2.52543,0,0.31913,0.15909,0.15208,0.03116,0.00031,0.02273,3e-05,0,2.97313,11.6257,3.2456,3.66053,0,0.00191684,0.00191684,0.00191684
44,273.613,2.36312,2.4399,2.41508,2.46367,0,0.04917,0.06818,0.02608,0.00514,0,0,0,0,3.05129,6.31023,3.07607,3.39781,0,0.00191486,0.00191486,0.00191486
45,279.094,2.37517,2.47718,2.52335,2.50858,0,0.03484,0.34091,0.02455,0.00418,0.00093,0.06818,0.00018,2e-05,3.0838,2.75312,3.25605,3.29542,0,0.00191288,0.00191288,0.00191288
46,284.938,2.37108,2.54916,2.52236,2.49718,0,0.03053,0.11364,0.0182,0.00385,0.00091,0.06818,8e-05,1e-05,3.16663,2.08801,3.4113,3.24448,0,0.0019109,0.0019109,0.0019109
47,290.383,2.34552,2.44961,2.44946,2.48279,0,0.0917,0.13636,0.05134,0.016,0.00121,0.09091,0.00014,2e-05,2.6948,1.94238,3.01738,2.83189,0,0.00190892,0.00190892,0.00190892
48,296.133,2.31877,2.43968,2.35187,2.44648,0,0.0917,0.13636,0.05134,0.016,0.00121,0.09091,0.00014,2e-05,2.6948,1.94238,3.01738,2.83189,0,0.00190694,0.00190694,0.00190694
49,301.717,2.37923,2.47983,2.3896,2.45931,0,0.05113,0.09091,0.03689,0.01491,0.00122,0.09091,0.00013,2e-05,2.58782,1.9028,3.16126,2.7311,0,0.00190496,0.00190496,0.00190496
50,307.25,2.37095,2.40246,2.37933,2.51139,0,0.02032,0.25,0.015,0.00529,0.00152,0.11364,0.00021,3e-05,2.76004,1.88521,3.31172,2.87162,0,0.00190298,0.00190298,0.00190298
51,312.71,2.34499,2.51821,2.50843,2.49839,0,0.01545,0.15909,0.01439,0.00311,0.00237,0.11364,0.00039,6e-05,3.1723,1.99771,3.4143,3.49132,0,0.001901,0.001901,0.001901
52,318.182,2.3981,2.51178,2.40695,2.46611,0,0.08925,0.09091,0.03286,0.0077,0.00177,0.11364,0.00079,0.00012,3.11849,1.98075,3.18723,3.57707,0,0.00189902,0.00189902,0.00189902
53,323.703,2.26934,2.45369,2.4717,2.4076,0,0.09255,0.25,0.07932,0.02151,0.00122,0.09091,0.00019,3e-05,2.69584,1.97425,2.95419,2.94751,0,0.00189704,0.00189704,0.00189704
54,329.188,2.27434,2.43224,2.44851,2.43888,0,0.09255,0.25,0.07932,0.02151,0.00122,0.09091,0.00019,3e-05,2.69584,1.97425,2.95419,2.94751,0,0.00189506,0.00189506,0.00189506
55,334.605,2.30452,2.40138,2.41153,2.42478,0,0.13797,0.15909,0.13064,0.03021,0.0003,0.02273,2e-05,1e-05,2.63143,2.03498,2.94652,2.78306,0,0.00189308,0.00189308,0.00189308
56,340.067,2.27237,2.47317,2.36882,2.34138,0,0.10363,0.27273,0.08027,0.02081,0.00062,0.04545,4e-05,1e-05,2.68132,2.00594,2.95825,2.85092,0,0.0018911,0.0018911,0.0018911
