epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8166,2.65766,5.07783,3.37597,2.51338,0,0.00818,0.61364,0.01227,0.00283,0,0,0,0,3.2479,3.31154,3.18531,3.1335,0,0.000615385,0.000615385,0.000615385
2,31.6672,2.63671,4.87564,3.29841,2.43846,0,0.00818,0.61364,0.0095,0.00187,0,0,0,0,3.24501,3.06933,3.30863,3.06301,0,0.00128078,0.00128078,0.00128078
3,35.7131,2.60951,4.98414,3.24539,2.53112,0,0.00879,0.65909,0.00808,0.00145,0,0,0,0,3.16832,2.85124,3.55397,2.94657,0,0.00194486,0.00194486,0.00194486
4,39.8979,2.60335,5.24885,3.3198,2.43787,0,0.00606,0.45455,0.00361,0.00052,0,0,0,0,3.22334,2.75873,3.80434,2.94091,0,0.00199406,0.00199406,0.00199406
5,44.0427,2.72907,5.01765,3.30676,2.58227,0,0.00485,0.36364,0.00203,0.00035,0,0,0,0,3.1941,2.84038,3.88192,2.89852,0,0.00199208,0.00199208,0.00199208
6,48.2143,2.6769,4.94765,3.36272,2.47073,0,0.00485,0.36364,0.00203,0.00035,0,0,0,0,3.1941,2.84038,3.88192,2.89852,0,0.0019901,0.0019901,0.0019901
7,52.6043,2.47847,4.98744,3.29728,2.4165,0,0.00455,0.34091,0.00216,0.00047,0,0,0,0,3.20029,2.94827,3.97464,2.92784,0,0.00198812,0.00198812,0.00198812
8,57.1096,2.9394,4.79009,8.36574,2.71641,0,0.00526,0.29545,0.00185,0.00024,0,0,0,0,4.158,28.738,174.259,7.16257,0,0.00198614,0.00198614,0.00198614
9,61.9139,3.19425,4.16136,10.3357,2.9192,0,0.00696,0.29545,0.00286,0.00048,0,0,0,0,nan,nan,nan,nan,0,0.00198416,0.00198416,0.00198416
10,66.542,3.23658,3.68679,4.50726,3.03226,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198218,0.00198218,0.00198218
11,71.3687,3.17674,5.593,3.12887,3.02936,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019802,0.0019802,0.0019802
12,76.0549,3.24173,4.01845,3.08686,3.08711,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197822,0.00197822,0.00197822
13,80.789,3.24892,3.56913,3.0345,3.05886,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197624,0.00197624,0.00197624
14,85.6153,3.16306,3.23147,2.93878,3.07858,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197426,0.00197426,0.00197426
15,90.4575,3.04985,3.13281,3.04383,3.03207,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197228,0.00197228,0.00197228
16,95.2463,2.86735,3.41355,3.08005,2.86336,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019703,0.0019703,0.0019703
17,100.256,3.02857,3.2115,2.95514,2.97815,0,0.00031,0.02273,1e-05,0,0,0,0,0,nan,nan,nan,nan,0,0.00196832,0.00196832,0.00196832
18,105.081,2.98749,3.00213,2.88061,2.94432,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196634,0.00196634,0.00196634
19,109.932,2.86324,3.09041,2.78774,2.86236,0,0,0,0,0,0,0,0,0,4.683,77.4634,3345.94,9.7645,0,0.00196436,0.00196436,0.00196436
20,114.802,2.95274,3.04948,2.77477,2.93937,0,0.0037,0.11364,0.00101,0.00018,0,0,0,0,4.21283,75.6046,16.0077,7.25128,0,0.00196238,0.00196238,0.00196238
21,119.784,2.78266,2.96215,2.65658,2.85779,0,0.00436,0.15909,0.00186,0.00041,0,0,0,0,4.38059,61.3457,4.27788,9.9124,0,0.0019604,0.0019604,0.0019604
22,124.506,2.82551,2.83149,2.66664,2.8925,0,0.00436,0.15909,0.00186,0.00041,0,0,0,0,4.38059,61.3457,4.27788,9.9124,0,0.00195842,0.00195842,0.00195842
