epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7647,2.66359,4.99603,3.31152,2.4823,0,0.01323,0.40909,0.01107,0.00226,0,0,0,0,3.23171,3.40659,3.37089,3.10279,0,0.000615385,0.000615385,0.000615385
2,30.6688,2.67029,5.16728,3.25999,2.48578,0,0.01358,0.47727,0.01055,0.00234,0.0003,0.02273,3e-05,0,3.20587,3.12975,3.53716,3.02018,0,0.00128078,0.00128078,0.00128078
3,34.5511,2.78923,5.03647,3.46589,2.51081,0,0.01266,0.54545,0.008,0.00185,0,0,0,0,3.13505,2.8274,3.65137,2.92181,0,0.00194486,0.00194486,0.00194486
4,38.46,2.62267,5.17772,3.35917,2.49,0,0.01241,0.02273,0.00734,0.00191,0,0,0,0,3.22478,2.72162,3.72046,2.86903,0,0.00199406,0.00199406,0.00199406
5,42.3667,2.65653,5.11929,3.4434,2.52003,0,0.05252,0.02273,0.01074,0.00278,0,0,0,0,3.21196,2.78648,3.83261,2.86574,0,0.00199208,0.00199208,0.00199208
6,46.2812,2.6491,5.076,3.25819,2.486,0,0.05252,0.02273,0.01074,0.00278,0,0,0,0,3.21196,2.78648,3.83261,2.86574,0,0.0019901,0.0019901,0.0019901
7,50.2465,3.23724,4.86648,16.3023,2.92073,0,0.00276,0.04545,0.00019,6e-05,0,0,0,0,4.82175,65.6007,117.907,44.4689,0,0.00198812,0.00198812,0.00198812
8,54.4352,3.48166,4.9683,20.6475,2.9708,0,0.0012,0.06818,0.00012,2e-05,0,0,0,0,4.43075,10.2066,260.626,6.78972,0,0.00198614,0.00198614,0.00198614
9,58.9087,3.28963,4.5321,14.6819,2.90017,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198416,0.00198416,0.00198416
10,63.1252,3.28878,4.11669,11.8329,2.90107,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198218,0.00198218,0.00198218
11,67.6418,3.24445,4.06953,3.55117,2.99357,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019802,0.0019802,0.0019802
12,71.8821,3.26955,5.53216,3.49781,3.02934,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197822,0.00197822,0.00197822
13,76.197,3.32565,4.21982,3.44727,3.03444,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197624,0.00197624,0.00197624
