epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3973,2.73614,5.01941,4.60476,2.61957,0,0.00303,0.22727,0.00073,0.00018,0,0,0,0,3.36588,3.06646,7.43996,3.23377,0,0.000615385,0.000615385,0.000615385
2,28.7487,2.6352,5.22165,4.45761,2.58794,0,0.00424,0.31818,0.00138,0.00035,0,0,0,0,3.4844,2.91602,7.97918,3.19439,0,0.00128078,0.00128078,0.00128078
3,32.1066,2.62256,4.75284,4.44998,2.5871,0,0.00626,0.09091,0.0019,0.00047,0,0,0,0,3.37245,2.80962,9.1687,3.00252,0,0.00194486,0.00194486,0.00194486
4,35.4085,2.66435,5.4038,4.48522,2.62324,0,0.00978,0.04545,0.002,0.0006,0,0,0,0,3.29557,2.85326,8.74243,2.96798,0,0.00199406,0.00199406,0.00199406
5,38.7842,2.68865,5.07054,4.52387,2.65469,0,0.01182,0.15909,0.00503,0.00108,0,0,0,0,3.31468,2.95667,8.21878,2.93077,0,0.00199208,0.00199208,0.00199208
6,42.0556,2.82036,5.13229,4.40832,2.73634,0,0.01182,0.15909,0.00503,0.00108,0,0,0,0,3.31468,2.95667,8.21878,2.93077,0,0.0019901,0.0019901,0.0019901
7,45.3523,2.76206,5.30979,4.64213,2.64142,0,0.01624,0.15909,0.00733,0.00164,0,0,0,0,3.25404,3.17421,7.586,3.10133,0,0.00198812,0.00198812,0.00198812
8,48.8705,3.13599,5.20715,16.7158,2.93047,0,0.00385,0.27273,0.00135,0.00021,0,0,0,0,3.64628,27.6223,583.404,6.98131,0,0.00198614,0.00198614,0.00198614
9,52.524,3.5327,4.75632,20.2771,3.28129,0,0.00446,0.15909,0.00085,0.00018,0,0,0,0,nan,673.762,nan,nan,0,0.00198416,0.00198416,0.00198416
10,56.081,3.54354,5.19798,8.6571,3.53136,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198218,0.00198218,0.00198218
11,59.8872,3.55605,4.69727,4.91892,3.41837,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019802,0.0019802,0.0019802
12,63.5102,3.46246,3.7081,3.8411,3.34669,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197822,0.00197822,0.00197822
13,67.1822,3.32009,3.56609,3.6667,3.42459,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197624,0.00197624,0.00197624
14,70.8072,3.27259,3.68142,3.53808,3.38834,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197426,0.00197426,0.00197426
15,74.3235,3.32494,3.58821,3.24302,3.42986,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197228,0.00197228,0.00197228
16,77.7675,3.20737,3.26115,3.07194,3.33528,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019703,0.0019703,0.0019703
17,81.481,3.24159,2.864,4.26955,3.3799,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196832,0.00196832,0.00196832
18,85.0785,3.19272,3.00564,3.69808,3.41835,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196634,0.00196634,0.00196634
19,88.7497,3.23395,3.04921,3.08317,3.41518,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196436,0.00196436,0.00196436
20,92.3689,3.12822,2.89761,2.94066,3.27097,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196238,0.00196238,0.00196238
21,96.0307,3.26308,2.87372,2.99336,3.37715,0,0.0034,0.20455,0.00119,0.0002,0,0,0,0,4.22394,64.8857,33.853,4.69192,0,0.0019604,0.0019604,0.0019604
22,99.6648,2.99993,2.80732,2.80955,3.2753,0,0.0034,0.20455,0.00119,0.0002,0,0,0,0,4.22394,64.8857,33.853,4.69192,0,0.00195842,0.00195842,0.00195842
23,103.34,3.06046,2.70188,2.87547,3.32126,0,0.01321,0.34091,0.01856,0.00335,0,0,0,0,3.55533,2.78393,3.32615,3.66081,0,0.00195644,0.00195644,0.00195644
24,107.073,3.1006,2.71477,2.88211,3.34517,0,0.01403,0.34091,0.01721,0.0038,0,0,0,0,3.44777,2.88675,3.34228,3.63297,0,0.00195446,0.00195446,0.00195446
25,110.847,2.95226,2.73211,2.83595,3.27111,0,0.0063,0.40909,0.00649,0.00135,0.0003,0.02273,2e-05,0,3.41356,2.74727,3.2111,3.59678,0,0.00195248,0.00195248,0.00195248
26,114.48,2.89782,2.65795,2.80171,3.22818,0,0.02616,0.13636,0.0117,0.00273,0.0003,0.02273,3e-05,0,3.30725,2.54704,3.3518,3.509,0,0.0019505,0.0019505,0.0019505
27,118.28,2.88862,2.56178,2.7626,3.22337,0,0.02616,0.13636,0.0117,0.00273,0.0003,0.02273,3e-05,0,3.30725,2.54704,3.3518,3.509,0,0.00194852,0.00194852,0.00194852
28,122.063,2.96981,2.68222,2.75147,3.30785,0,0.00857,0.27273,0.00543,0.00134,0.00031,0.02273,4e-05,0,3.53449,2.98632,3.26797,3.71864,0,0.00194654,0.00194654,0.00194654
29,125.861,2.86408,2.61798,2.74148,3.20276,0,0.01247,0.20455,0.00625,0.00124,0,0,0,0,3.51282,6.59571,3.43291,4.75152,0,0.00194456,0.00194456,0.00194456
30,129.445,2.79189,2.60716,2.75383,3.18191,0,0.00569,0.40909,0.00308,0.00068,0,0,0,0,3.64422,248.287,63.0075,14.1328,0,0.00194258,0.00194258,0.00194258
31,133.243,2.9243,2.57729,2.75254,3.18843,0,0.00394,0.29545,0.00153,0.00041,0.00089,0.04545,4e-05,0,3.4942,48.8654,131.611,6.53542,0,0.0019406,0.0019406,0.0019406
32,137.002,2.80059,2.50582,2.77071,3.16932,0,0.00394,0.29545,0.00153,0.00041,0.00089,0.04545,4e-05,0,3.4942,48.8654,131.611,6.53542,0,0.00193862,0.00193862,0.00193862
33,140.67,2.86532,2.49814,2.73426,3.16717,0,0.00697,0.52273,0.00504,0.00108,0,0,0,0,3.21156,7.3382,17.8112,3.9933,0,0.00193664,0.00193664,0.00193664
34,144.452,2.84134,2.49768,2.81719,3.21837,0,0.00931,0.68182,0.00914,0.00171,0,0,0,0,3.19074,4.0944,5.85737,4.29951,0,0.00193466,0.00193466,0.00193466
35,148.36,2.84642,2.54959,2.73937,3.21774,0,0.01569,0.52273,0.02294,0.00484,0,0,0,0,3.01665,2.43451,3.20887,3.68946,0,0.00193268,0.00193268,0.00193268
36,152.217,2.72257,2.34245,2.70929,3.16241,0,0.01124,0.59091,0.02533,0.00438,0,0,0,0,3.09579,2.3863,3.2096,3.50582,0,0.0019307,0.0019307,0.0019307
37,155.997,2.72394,2.44254,2.61249,3.15892,0,0.00918,0.61364,0.00889,0.00199,0,0,0,0,3.1609,2.40674,3.1106,3.42777,0,0.00192872,0.00192872,0.00192872
38,159.741,2.70345,2.31782,2.56066,3.12738,0,0.00918,0.61364,0.00889,0.00199,0,0,0,0,3.1609,2.40674,3.1106,3.42777,0,0.00192674,0.00192674,0.00192674
39,163.619,2.6793,2.41329,2.62494,3.12065,0,0.0181,0.40909,0.01317,0.00326,0,0,0,0,3.02133,2.6825,3.02529,3.3895,0,0.00192476,0.00192476,0.00192476
40,167.389,2.72046,2.38065,2.62965,3.1562,0,0.0132,0.81818,0.02834,0.00621,0,0,0,0,3.00112,2.74581,2.83226,3.41014,0,0.00192278,0.00192278,0.00192278
41,171.281,2.67085,2.46024,2.65027,3.1035,0,0.15113,0.06818,0.07491,0.02025,0,0,0,0,3.06327,2.25595,2.7328,3.32739,0,0.0019208,0.0019208,0.0019208
42,175.138,2.7765,2.42588,2.63584,3.17716,0,0.11886,0.06818,0.07489,0.02082,0,0,0,0,3.11703,2.19929,2.82768,3.34324,0,0.00191882,0.00191882,0.00191882
43,179.153,2.75031,2.43009,2.56923,3.17587,0,0.11886,0.06818,0.07489,0.02082,0,0,0,0,3.11703,2.19929,2.82768,3.34324,0,0.00191684,0.00191684,0.00191684
44,183.062,2.73046,2.45305,2.64818,3.14383,0,0.01195,0.65909,0.03664,0.0093,0.00031,0.02273,1e-05,0,2.92269,2.27129,2.95923,3.29909,0,0.00191486,0.00191486,0.00191486
45,186.959,2.68463,2.37943,2.59722,3.14522,0,0.00745,0.5,0.00944,0.00244,0,0,0,0,2.96091,2.3363,3.41512,3.25337,0,0.00191288,0.00191288,0.00191288
46,190.833,2.61911,2.27371,2.64262,3.05879,0,0.01544,0.15909,0.06132,0.01907,0.0003,0.02273,1e-05,0,2.76385,2.16435,3.22444,3.13429,0,0.0019109,0.0019109,0.0019109
