epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,3170.54,1.63353,2.1011,1.57534,0.14533,0.12437,0.07472,0.02571,2.06513,3.25279,1.46693,0.000946016,0.000946016,0.000946016
5,4706.1,1.62619,2.07129,1.5585,0.28232,0.19429,0.1567,0.05936,1.87179,2.89151,1.3498,0.000891022,0.000891022,0.000891022
6,7493.89,1.58471,2.00465,1.53004,0.16574,0.16811,0.11997,0.04485,1.86475,2.64817,1.33853,0.000836027,0.000836027,0.000836027
7,10234.2,1.5637,1.97515,1.51866,0.1782,0.22209,0.13844,0.05288,1.8853,3.03864,1.33335,0.000781033,0.000781033,0.000781033
8,12569.8,1.56383,1.95999,1.52264,0.17806,0.25842,0.16162,0.06026,1.85348,2.26846,1.31409,0.000726038,0.000726038,0.000726038
9,15744.4,1.53862,1.89799,1.49466,0.25808,0.20117,0.16758,0.06122,1.90151,2.5464,1.33397,0.000671044,0.000671044,0.000671044
10,17494.9,1.51382,1.85417,1.4822,0.30095,0.25214,0.18835,0.07088,1.84112,2.3371,1.27706,0.000616049,0.000616049,0.000616049
11,18254.9,1.51666,1.84527,1.4684,0.22646,0.26578,0.17833,0.07626,1.88035,2.22012,1.31952,0.000561055,0.000561055,0.000561055
12,19015.7,1.50929,1.78452,1.4658,0.24245,0.2557,0.17755,0.06701,1.87828,2.2296,1.32576,0.00050606,0.00050606,0.00050606
13,19792.4,1.51763,1.77034,1.46554,0.27479,0.24279,0.2054,0.09398,1.81114,2.27786,1.30286,0.000451066,0.000451066,0.000451066
