epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1295.3,2.30844,4.3956,2.16568,0.02104,0.12981,0.0177,0.0049,2.47608,4.05898,1.83747,0.000370227,0.000370227,0.000370227
2,3508.77,2.19273,3.02699,2.13947,0.02838,0.28406,0.05434,0.01491,2.1923,3.90179,1.66541,0.000703902,0.000703902,0.000703902
3,6108.46,2.09163,2.80637,2.04311,0.02504,0.25474,0.03429,0.01358,2.16091,3.90507,1.5748,0.00100091,0.00100091,0.00100091
4,8403.52,2.04469,2.68972,1.98351,0.06484,0.08238,0.03817,0.01058,2.20553,3.86121,1.61043,0.000946016,0.000946016,0.000946016
5,10333.3,1.94704,2.55756,1.91504,0.07841,0.14273,0.05412,0.01695,2.08777,4.20859,1.56819,0.000891022,0.000891022,0.000891022
6,691.177,1.89743,2.40985,1.86611,0.1111,0.11191,0.07725,0.0224,2.19881,3.55558,1.60768,0.000836027,0.000836027,0.000836027
7,1281.32,1.84216,2.328,1.81466,0.09592,0.14553,0.0861,0.02761,2.00497,5.42053,1.49534,0.000781033,0.000781033,0.000781033
8,1874.92,1.78105,2.24205,1.76514,0.31877,0.12564,0.07857,0.02636,1.98806,3.34845,1.49548,0.000726038,0.000726038,0.000726038
9,2466.79,1.75508,2.16709,1.73782,0.28782,0.10989,0.0616,0.01829,1.99209,3.37287,1.46656,0.000671044,0.000671044,0.000671044
10,3059.4,1.72162,2.11699,1.70888,0.1036,0.11187,0.04987,0.01726,1.96021,3.12816,1.43661,0.000616049,0.000616049,0.000616049
11,3651.18,1.69797,2.08904,1.67523,0.11257,0.13673,0.07582,0.0268,1.91825,3.03859,1.40546,0.000561055,0.000561055,0.000561055
12,4244.09,1.66205,2.01158,1.65041,0.09444,0.15369,0.07239,0.02367,1.93723,4.31484,1.38988,0.00050606,0.00050606,0.00050606
13,4835.73,1.64715,1.96497,1.64783,0.11865,0.2538,0.09802,0.03547,1.94383,2.84769,1.37888,0.000451066,0.000451066,0.000451066
14,5426.87,1.61652,1.92125,1.61547,0.12157,0.22176,0.09816,0.03776,1.90976,2.92581,1.39162,0.000396071,0.000396071,0.000396071
15,6018.78,1.60024,1.87434,1.60246,0.14342,0.19825,0.10512,0.03742,1.88531,3.29082,1.36885,0.000341077,0.000341077,0.000341077
16,6615.62,1.54056,1.81154,1.55041,0.18732,0.26402,0.14147,0.05463,1.91253,2.53157,1.40055,0.000286083,0.000286083,0.000286083
17,7217.99,1.53031,1.78476,1.54572,0.1459,0.29122,0.12482,0.04949,1.91431,2.89504,1.39122,0.000231088,0.000231088,0.000231088
18,7819.07,1.53428,1.75153,1.54281,0.15965,0.2686,0.12755,0.0454,1.89967,2.68074,1.37784,0.000176094,0.000176094,0.000176094
19,8421.99,1.48066,1.70037,1.50779,0.19,0.30627,0.13279,0.04744,1.92081,2.82439,1.39017,0.000121099,0.000121099,0.000121099
20,9024.62,1.47385,1.65378,1.50075,0.19008,0.31275,0.14727,0.05565,1.94522,2.83424,1.38961,6.61045e-05,6.61045e-05,6.61045e-05
