epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1154.29,2.12376,3.88648,1.89645,0.25559,0.04576,0.02869,0.00902,2.27225,6.0086,1.71666,0.000370215,0.000370215,0.000370215
2,1742.92,2.05346,2.78436,1.83728,0.0046,0.33237,0.00867,0.00304,2.33737,7.06421,1.73519,0.000703891,0.000703891,0.000703891
3,2327.07,1.99856,2.61111,1.79152,0.67927,0.046,0.04889,0.01551,2.10853,2.89722,1.55523,0.0010009,0.0010009,0.0010009
4,2899.61,1.93648,2.4899,1.74157,0.26753,0.17629,0.03919,0.01047,2.08077,4.93824,1.51166,0.000946016,0.000946016,0.000946016
5,3469.93,1.88072,2.36637,1.7071,0.30989,0.19701,0.08157,0.0263,1.91915,3.58052,1.42586,0.000891022,0.000891022,0.000891022
6,4038.48,1.79459,2.2025,1.64914,0.31952,0.19996,0.0728,0.02219,1.98231,2.96941,1.43737,0.000836027,0.000836027,0.000836027
7,4608.41,1.77829,2.13387,1.63649,0.31687,0.14728,0.09332,0.02946,1.96347,2.64546,1.41571,0.000781033,0.000781033,0.000781033
8,5180.85,1.77693,2.11165,1.63376,0.39466,0.16173,0.11452,0.04104,1.85587,2.55573,1.36713,0.000726038,0.000726038,0.000726038
9,5752.5,1.72032,2.04023,1.60013,0.15373,0.18174,0.09635,0.03239,1.86709,2.57077,1.35247,0.000671044,0.000671044,0.000671044
10,6326.88,1.70387,1.9859,1.59177,0.38273,0.23608,0.13827,0.04444,1.89045,2.53567,1.35282,0.000616049,0.000616049,0.000616049
11,6862.13,1.70497,1.96242,1.57775,0.332,0.16856,0.12022,0.04375,1.80674,2.57866,1.32591,0.000561055,0.000561055,0.000561055
12,7397.22,1.66479,1.90663,1.56424,0.37706,0.25495,0.13535,0.048,1.91474,2.5821,1.38914,0.00050606,0.00050606,0.00050606
13,7930.5,1.65759,1.81313,1.54965,0.39552,0.21102,0.1558,0.05818,1.85501,2.41042,1.36463,0.000451066,0.000451066,0.000451066
14,8465.39,1.63501,1.81967,1.5367,0.36965,0.26466,0.14322,0.05364,1.80226,2.6388,1.34557,0.000396071,0.000396071,0.000396071
15,8998.51,1.58829,1.74467,1.50251,0.37007,0.24142,0.13761,0.0535,1.88793,2.3188,1.36912,0.000341077,0.000341077,0.000341077
16,9532.53,1.57508,1.72848,1.49187,0.4155,0.24833,0.15722,0.05471,1.84245,2.09525,1.3421,0.000286083,0.000286083,0.000286083
17,10066.4,1.56511,1.68267,1.47577,0.41971,0.22541,0.18296,0.06455,1.81038,1.95938,1.29978,0.000231088,0.000231088,0.000231088
18,10600,1.53147,1.64994,1.46483,0.23924,0.27017,0.17834,0.06054,1.8354,2.06038,1.32589,0.000176094,0.000176094,0.000176094
19,11135,1.52537,1.62555,1.44572,0.24655,0.2836,0.1964,0.07924,1.79069,2.082,1.28886,0.000121099,0.000121099,0.000121099
20,11667.7,1.49629,1.58405,1.42878,0.24645,0.31506,0.19866,0.07936,1.78164,2.10157,1.29703,6.61045e-05,6.61045e-05,6.61045e-05
