epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1012.48,2.13303,11.2023,1.87777,0.44322,0.06496,0.03647,0.01172,2.19914,10.0058,1.64467,0.000370215,0.000370215,0.000370215
2,1759.94,2.06777,8.04506,1.82987,0.47223,0.07641,0.05333,0.01478,2.17365,9.47279,1.63852,0.000703891,0.000703891,0.000703891
3,2525.68,2.00455,7.60219,1.78285,0.24637,0.17476,0.049,0.01725,2.05049,9.14658,1.5231,0.0010009,0.0010009,0.0010009
4,3281.43,1.93724,7.26671,1.72987,0.27989,0.15403,0.05137,0.01286,2.1166,9.68982,1.53549,0.000946016,0.000946016,0.000946016
5,4116.52,1.88636,6.95926,1.68903,0.30539,0.17727,0.06898,0.02191,1.9809,8.82978,1.42788,0.000891022,0.000891022,0.000891022
6,4881.2,1.82041,6.51285,1.64822,0.30541,0.12143,0.08423,0.02293,2.09933,8.03743,1.50776,0.000836027,0.000836027,0.000836027
7,5602.14,1.79208,6.37738,1.62204,0.51815,0.13159,0.09693,0.034,1.97961,7.82142,1.4083,0.000781033,0.000781033,0.000781033
8,6348.17,1.78425,6.24196,1.61812,0.28882,0.20503,0.06955,0.02382,1.89023,9.85578,1.36786,0.000726038,0.000726038,0.000726038
9,7074.73,1.74074,6.00226,1.58911,0.36896,0.21417,0.12599,0.04357,1.80339,7.15443,1.31569,0.000671044,0.000671044,0.000671044
10,7804.78,1.71831,5.90188,1.57907,0.38695,0.1513,0.10463,0.03607,1.95249,8.24666,1.3888,0.000616049,0.000616049,0.000616049
11,8484.76,1.7067,5.76222,1.54557,0.35252,0.22948,0.12013,0.04042,1.88796,7.82662,1.34775,0.000561055,0.000561055,0.000561055
12,9158.95,1.67312,5.64077,1.54648,0.3707,0.20025,0.12338,0.04445,1.86996,7.19077,1.35303,0.00050606,0.00050606,0.00050606
13,9844.72,1.6679,5.38766,1.52579,0.35366,0.2294,0.1252,0.04771,1.8392,7.14037,1.36703,0.000451066,0.000451066,0.000451066
14,10536.6,1.63908,5.38473,1.51317,0.35668,0.25246,0.10701,0.03846,1.80961,8.45307,1.33064,0.000396071,0.000396071,0.000396071
15,11227.6,1.61043,5.14052,1.48867,0.40179,0.25399,0.14425,0.05232,1.83358,6.94539,1.34946,0.000341077,0.000341077,0.000341077
16,11832.9,1.59402,5.06466,1.47401,0.38632,0.202,0.14874,0.05449,1.77047,6.58422,1.30549,0.000286083,0.000286083,0.000286083
17,12387.6,1.5841,4.94178,1.46107,0.41597,0.24881,0.19132,0.06953,1.80326,6.75416,1.31416,0.000231088,0.000231088,0.000231088
18,12951.1,1.55351,4.86538,1.44979,0.20859,0.26309,0.15621,0.05516,1.77775,6.60408,1.28715,0.000176094,0.000176094,0.000176094
19,13507.3,1.55268,4.74851,1.43697,0.38955,0.32402,0.16617,0.06319,1.76749,6.81528,1.29123,0.000121099,0.000121099,0.000121099
20,14062.9,1.51818,4.63998,1.41671,0.22861,0.3,0.18215,0.07013,1.73492,6.5348,1.27341,6.61045e-05,6.61045e-05,6.61045e-05
