epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,755.04,2.22198,4.26571,1.94793,0.00506,0.35734,0.0142,0.0049,2.35643,6.82728,1.6997,0.000370215,0.000370215,0.000370215
2,1311.86,2.13682,2.93625,1.91627,0.00844,0.35522,0.01123,0.00348,2.18114,4.21836,1.58148,0.000703891,0.000703891,0.000703891
3,1860.39,2.06163,2.74868,1.85706,0.26536,0.05461,0.03827,0.01118,2.18096,3.8275,1.61484,0.0010009,0.0010009,0.0010009
4,2405.96,2.007,2.6279,1.80986,0.27251,0.1078,0.0562,0.01622,2.12615,5.31565,1.56704,0.000946016,0.000946016,0.000946016
5,2953.06,1.9282,2.47867,1.73751,0.2882,0.09496,0.05545,0.01829,2.0103,3.03524,1.47376,0.000891022,0.000891022,0.000891022
6,3500.32,1.88452,2.3411,1.70031,0.3394,0.1325,0.09465,0.02851,2.01584,2.784,1.46598,0.000836027,0.000836027,0.000836027
7,4048.5,1.85803,2.2854,1.69217,0.50225,0.08218,0.06025,0.01925,1.99595,2.76472,1.43791,0.000781033,0.000781033,0.000781033
8,4621.44,1.80649,2.19811,1.65962,0.4885,0.10973,0.07805,0.02718,1.92881,3.06126,1.40097,0.000726038,0.000726038,0.000726038
9,5259.01,1.80954,2.12248,1.63956,0.34988,0.11838,0.09053,0.02424,1.88909,3.02963,1.38517,0.000671044,0.000671044,0.000671044
10,5808.56,1.75736,2.08104,1.61335,0.49926,0.11956,0.09996,0.03171,1.97344,2.45223,1.41807,0.000616049,0.000616049,0.000616049
11,6338.8,1.70868,1.9471,1.57953,0.31762,0.16222,0.08873,0.03306,1.86421,2.74516,1.36249,0.000561055,0.000561055,0.000561055
12,6872.41,1.666,1.89493,1.55993,0.30932,0.13149,0.09691,0.03415,1.8293,2.60024,1.35784,0.00050606,0.00050606,0.00050606
13,7404.62,1.64984,1.84117,1.54241,0.34849,0.20125,0.1155,0.03987,1.82278,2.44454,1.32014,0.000451066,0.000451066,0.000451066
14,8052.89,1.64274,1.83662,1.54026,0.34966,0.23185,0.10257,0.03908,1.80037,2.52726,1.30116,0.000396071,0.000396071,0.000396071
15,8733.57,1.60764,1.77811,1.5087,0.38302,0.22431,0.14786,0.05227,1.83485,2.17663,1.31569,0.000341077,0.000341077,0.000341077
16,9344.46,1.58468,1.73607,1.49442,0.39538,0.24675,0.1508,0.05575,1.81664,2.03871,1.30672,0.000286083,0.000286083,0.000286083
17,9983.28,1.57234,1.72474,1.48213,0.40451,0.24141,0.15665,0.05259,1.85254,2.18597,1.34709,0.000231088,0.000231088,0.000231088
18,10627.7,1.54952,1.6831,1.46436,0.19255,0.2944,0.17526,0.06399,1.78272,2.30871,1.28592,0.000176094,0.000176094,0.000176094
19,11291.7,1.54061,1.65806,1.45899,0.39741,0.28862,0.18407,0.06806,1.81961,2.15302,1.28713,0.000121099,0.000121099,0.000121099
20,11972.1,1.5115,1.62781,1.45165,0.3965,0.2851,0.17989,0.06892,1.8065,2.16273,1.28926,6.61045e-05,6.61045e-05,6.61045e-05
