epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0537,2.10549,3.68722,20.0667,2.01092,0,0.09832,0.11364,0.02946,0.00639,0,0,0,0,3.36837,4.96939,6.03624,3.68899,0,0.000649573,0.000649573,0.000649573
2,43.2119,2.38656,2.79052,6.58413,2.24632,0,0.00899,0.15909,0.00221,0.0004,0,0,0,0,3.85052,8.93111,69.5691,6.26328,0,0.00131494,0.00131494,0.00131494
3,53.1853,2.75243,3.27124,3.88549,2.71829,0,0.00139,0.09091,0.00014,2e-05,0,0,0,0,4.34961,67.6772,971.142,23.5887,0,0.00197898,0.00197898,0.00197898
4,63.3247,2.91791,3.29016,3.74771,2.77073,0,0,0,0,0,0,0,0,0,5.87704,574.514,3286.69,45.8394,0,0.00199406,0.00199406,0.00199406
5,73.0583,2.79669,3.00332,3.94136,2.58122,0,0.00233,0.13636,0.00041,0.00012,0,0,0,0,3.69933,19.6015,26.8553,11.3793,0,0.00199208,0.00199208,0.00199208
6,82.906,2.83182,2.81368,3.57835,2.74545,0,0.02112,0.09091,0.00574,0.00163,0,0,0,0,3.26986,3.05529,14.2934,4.75031,0,0.0019901,0.0019901,0.0019901
7,92.8064,2.77485,2.76689,3.13136,2.72088,0,0.00055,0.02273,3e-05,1e-05,0,0,0,0,4.03779,3.85135,45.4557,4.82281,0,0.00198812,0.00198812,0.00198812
8,102.906,2.60699,2.60709,3.59925,2.58776,0,0.00385,0.27273,0.0011,0.00028,0,0,0,0,4.08416,4.00572,158.249,6.27971,0,0.00198614,0.00198614,0.00198614
9,112.525,2.60977,2.68896,3.19415,2.70368,0,0.00466,0.31818,0.00175,0.00045,0,0,0,0,3.78175,3.40215,14.2139,4.26279,0,0.00198416,0.00198416,0.00198416
10,122.262,2.53137,2.44861,3.28668,2.6013,0,0.00581,0.43182,0.00287,0.00054,0.00061,0.04545,7e-05,1e-05,3.72194,4.58573,5.127,4.90696,0,0.00198218,0.00198218,0.00198218
11,132.178,2.56037,2.64864,3.18842,2.59548,0,0.02692,0.36364,0.02109,0.00495,0.00036,0.02273,0.00019,2e-05,3.1909,2.15171,3.00217,3.39987,0,0.0019802,0.0019802,0.0019802
12,142.16,2.57003,2.37584,3.18511,2.65316,0,0.04486,0.3256,0.0246,0.00645,0.00244,0.02273,0.00028,3e-05,3.05152,2.00306,3.68433,3.32117,0,0.00197822,0.00197822,0.00197822
13,152.578,2.51984,2.70157,2.86088,2.58872,0,0.03711,0.5,0.04997,0.01023,0.00181,0.02273,0.00631,0.00063,3.0065,1.92246,2.88691,3.28419,0,0.00197624,0.00197624,0.00197624
14,162.897,2.46077,2.62612,2.86383,2.46446,0,0.02296,0.06818,0.00976,0.00187,0.00073,0.04545,0.00013,2e-05,3.39567,17.707,3.32096,3.59774,0,0.00197426,0.00197426,0.00197426
15,173.017,2.54645,2.59102,2.97009,2.63828,0,0.11464,0.31818,0.08334,0.01713,0.00061,0.04545,0.00012,2e-05,2.89638,2.09971,2.74883,3.3644,0,0.00197228,0.00197228,0.00197228
16,183.092,2.44481,2.69299,2.91095,2.5338,0,0.0599,0.11364,0.05198,0.01166,0.03018,0.13636,0.0125,0.00162,2.90045,1.90768,2.7949,3.40421,0,0.0019703,0.0019703,0.0019703
17,193.261,2.27144,2.49336,3.1359,2.4251,0,0.05897,0.31818,0.03706,0.00761,0.00034,0.02273,6e-05,1e-05,2.71707,2.25601,2.88278,3.02548,0,0.00196832,0.00196832,0.00196832
