epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.915,2.46428,5.2044,3.31415,2.38732,0,0.30507,0.09091,0.09122,0.03914,0.01698,0.02273,0.00049,5e-05,2.69146,5.88885,4.63036,2.7753,0,0.000615385,0.000615385,0.000615385
2,31.9642,2.47263,4.97093,3.28721,2.38812,0,0.35351,0.09091,0.08897,0.03278,0.02177,0.02273,0.00064,0.00013,2.81071,4.99641,4.45355,2.85916,0,0.00128078,0.00128078,0.00128078
3,35.9696,2.52042,5.05516,3.24537,2.41703,0,0.53054,0.09091,0.08379,0.01874,0.02152,0.02273,0.00064,0.00019,2.8509,4.39258,4.39685,2.88396,0,0.00194486,0.00194486,0.00194486
4,40.1521,2.54206,5.08489,3.33154,2.441,0,0.22214,0.06818,0.04483,0.01182,0.02532,0.02273,0.00094,0.00018,2.82492,4.10442,4.17218,2.92783,0,0.00199406,0.00199406,0.00199406
5,44.087,2.40791,5.31101,3.27293,2.37595,0,0.00715,0.04545,0.00265,0.00034,0,0,0,0,4.29599,12.6102,33.8658,6.07686,0,0.00199208,0.00199208,0.00199208
6,48.6023,3.33209,4.98098,14.0691,2.95844,0,0.00715,0.04545,0.00265,0.00034,0,0,0,0,4.29599,12.6102,33.8658,6.07686,0,0.0019901,0.0019901,0.0019901
7,53.0192,3.36796,3.9348,9.6082,3.11761,0,0.00103,0.06818,0.00011,2e-05,0,0,0,0,nan,nan,nan,nan,0,0.00198812,0.00198812,0.00198812
8,57.0467,3.31648,4.35844,5.79425,3.18228,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198614,0.00198614,0.00198614
9,61.1375,3.24262,4.36237,3.58746,3.13787,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198416,0.00198416,0.00198416
10,65.2592,2.9905,4.07233,3.21857,2.99586,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198218,0.00198218,0.00198218
11,69.3313,3.15631,3.52932,3.8641,3.06767,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019802,0.0019802,0.0019802
12,73.6697,3.10789,3.52419,3.52139,3.05525,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197822,0.00197822,0.00197822
13,77.8244,2.95827,3.2133,3.07157,2.97024,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197624,0.00197624,0.00197624
14,82.1506,3.03913,3.1692,2.96303,3.01536,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197426,0.00197426,0.00197426
15,86.4154,3.01651,3.36246,2.86068,2.98534,0,0,0,0,0,0,0,0,0,2.4822,200.842,123.084,1.71901,0,0.00197228,0.00197228,0.00197228
16,90.569,2.84048,3.10807,2.92133,2.93672,0,0,0,0,0,0,0,0,0,2.4822,200.842,123.084,1.71901,0,0.0019703,0.0019703,0.0019703
17,94.8771,2.85197,3.01319,2.73596,2.89224,0,0,0,0,0,0,0,0,0,5.3548,282.957,176.833,55.2097,0,0.00196832,0.00196832,0.00196832
18,99.1541,2.77887,2.86114,2.71161,2.8995,0,0,0,0,0,0,0,0,0,5.36998,616.726,363.011,27.355,0,0.00196634,0.00196634,0.00196634
19,103.701,2.81187,2.95753,2.66337,2.86308,0,0.00195,0.04545,9e-05,4e-05,0,0,0,0,5.52252,149.713,222.238,31.3966,0,0.00196436,0.00196436,0.00196436
20,108.229,2.84529,2.95267,2.67715,2.87811,0,0,0,0,0,0,0,0,0,5.67772,118.452,681.324,29.8387,0,0.00196238,0.00196238,0.00196238
21,112.709,2.75642,2.7106,2.61359,2.87967,0,0,0,0,0,0,0,0,0,5.88158,49.221,288.254,16.2755,0,0.0019604,0.0019604,0.0019604
22,117.021,2.702,2.62135,2.53608,2.81972,0,0,0,0,0,0,0,0,0,5.88158,49.221,288.254,16.2755,0,0.00195842,0.00195842,0.00195842
23,121.38,2.75393,2.66199,2.57909,2.82086,0,0,0,0,0,0,0,0,0,5.74076,140.838,4646.18,15.6122,0,0.00195644,0.00195644,0.00195644
24,125.786,2.68403,2.76911,2.56076,2.73325,0,0,0,0,0,0,0,0,0,5.69144,309.065,7294.88,13.8854,0,0.00195446,0.00195446,0.00195446
25,130.14,2.76494,2.78013,2.6181,2.78466,0,0,0,0,0,0,0,0,0,4.81204,10.3606,3990.93,5.98371,0,0.00195248,0.00195248,0.00195248
26,134.503,2.65306,2.66314,2.54655,2.74296,0,0.00061,0.04545,3e-05,0,0,0,0,0,3.82969,3.107,1111.8,4.27537,0,0.0019505,0.0019505,0.0019505
27,138.924,2.57302,2.58363,2.53454,2.68461,0,0.00061,0.04545,3e-05,0,0,0,0,0,3.82969,3.107,1111.8,4.27537,0,0.00194852,0.00194852,0.00194852
28,143.451,2.60407,2.63819,2.49459,2.72573,0,0.00243,0.18182,0.00048,0.00011,0,0,0,0,3.6697,2.84988,368.442,4.16129,0,0.00194654,0.00194654,0.00194654
29,147.799,2.64447,2.59854,2.55407,2.73039,0,0.00855,0.34091,0.00442,0.00091,0,0,0,0,3.36623,2.85562,59.6952,3.93186,0,0.00194456,0.00194456,0.00194456
30,152.207,2.53805,2.44802,2.52237,2.66471,0,0.01819,0.36364,0.01242,0.00308,0,0,0,0,3.22838,2.42344,4.49443,3.57959,0,0.00194258,0.00194258,0.00194258
31,156.602,2.51213,2.64965,2.5629,2.66096,0,0.03135,0.56818,0.03002,0.00712,0,0,0,0,3.03793,2.15848,2.9568,3.27974,0,0.0019406,0.0019406,0.0019406
32,161.016,2.4549,2.59764,2.54401,2.64803,0,0.03135,0.56818,0.03002,0.00712,0,0,0,0,3.03793,2.15848,2.9568,3.27974,0,0.00193862,0.00193862,0.00193862
33,165.423,2.45093,2.64454,2.55396,2.62277,0,0.01769,0.5,0.01488,0.00298,0,0,0,0,3.36649,2.66362,3.0796,3.63411,0,0.00193664,0.00193664,0.00193664
