epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.3359,0.57805,0.86731,1,0.3023,0.000465978,0.000465978,0.000465978
2,18.1528,0.33786,0.9288,1,0.23974,0.000926763,0.000926763,0.000926763
3,22.9318,0.4085,0.80583,1,1.94684,0.00137183,0.00137183,0.00137183
4,27.3532,0.4253,0.90291,1,0.33166,0.00135826,0.00135826,0.00135826
5,31.4806,0.40537,0.89968,1,0.3314,0.00133469,0.00133469,0.00133469
6,35.6267,0.42347,0.88997,1,0.33893,0.00131111,0.00131111,0.00131111
7,39.75,0.32303,0.93851,1,0.19062,0.00128753,0.00128753,0.00128753
8,44.3204,0.32285,0.91909,1,0.26739,0.00126395,0.00126395,0.00126395
9,48.8761,0.31289,0.90615,1,0.28534,0.00124037,0.00124037,0.00124037
10,53.9472,0.26028,0.92557,1,0.23753,0.00121679,0.00121679,0.00121679
11,61.043,0.26464,0.91909,1,0.17839,0.00119322,0.00119322,0.00119322
12,68.611,0.28928,0.93851,1,0.18454,0.00116964,0.00116964,0.00116964
13,76.1141,0.23105,0.95146,1,0.17093,0.00114606,0.00114606,0.00114606
14,83.8898,0.23383,0.93204,1,0.20009,0.00112248,0.00112248,0.00112248
15,91.6255,0.26835,0.89968,1,0.26708,0.0010989,0.0010989,0.0010989
16,98.9694,0.23786,0.93528,1,0.22541,0.00107532,0.00107532,0.00107532
17,106.401,0.23881,0.90615,1,0.30899,0.00105174,0.00105174,0.00105174
18,114.43,0.20807,0.9644,1,0.14989,0.00102817,0.00102817,0.00102817
19,122.28,0.16273,0.91262,1,0.2224,0.00100459,0.00100459,0.00100459
20,129.99,0.20351,0.93204,1,0.18148,0.000981008,0.000981008,0.000981008
21,137.498,0.18251,0.94822,1,0.14081,0.00095743,0.00095743,0.00095743
22,145.523,0.18313,0.95793,1,0.18865,0.000933851,0.000933851,0.000933851
23,153.452,0.19782,0.95469,1,0.12834,0.000910273,0.000910273,0.000910273
24,161.308,0.16854,0.9644,1,0.12999,0.000886694,0.000886694,0.000886694
25,169.018,0.18512,0.93528,1,0.18134,0.000863116,0.000863116,0.000863116
26,176.607,0.17621,0.95793,1,0.13337,0.000839537,0.000839537,0.000839537
27,184.048,0.13895,0.96117,1,0.11253,0.000815959,0.000815959,0.000815959
28,191.658,0.1516,0.94822,1,0.15823,0.00079238,0.00079238,0.00079238
29,199.474,0.14684,0.95146,1,0.11158,0.000768802,0.000768802,0.000768802
30,207.165,0.16256,0.95793,1,0.11448,0.000745223,0.000745223,0.000745223
