epoch,time,train_loss,val_dice,lr
1,5.6,2.06248,,1.518e-05
2,8.9,2.00539,,2.458e-05
3,12.2,1.8807,,3.978e-05
4,15.5,1.77719,,6.011e-05
5,19.9,1.68587,0.09833,8.467e-05
6,23.3,1.60851,,1.124e-04
7,26.7,1.54909,,1.420e-04
8,30.2,1.49989,,1.723e-04
9,33.8,1.43737,,2.018e-04
10,38.5,1.36207,0.29013,2.293e-04
11,42.3,1.29094,,2.536e-04
12,46.1,1.25924,,2.736e-04
13,50.0,1.19806,,2.884e-04
14,54.1,1.16166,,2.973e-04
15,59.4,1.10538,0.39892,3.000e-04
16,63.5,1.08805,,3.000e-04
17,67.6,1.06613,,3.000e-04
18,71.7,1.01273,,2.999e-04
19,75.8,0.98553,,2.998e-04
20,81.2,0.94491,0.45327,2.998e-04
21,85.2,0.92161,,2.997e-04
22,89.3,0.92542,,2.995e-04
23,93.5,0.9102,,2.994e-04
24,97.7,0.84895,,2.992e-04
25,103.6,0.83225,0.47772,2.991e-04
26,107.9,0.80557,,2.989e-04
27,112.1,0.78701,,2.987e-04
28,116.3,0.74482,,2.984e-04
29,120.5,0.70306,,2.982e-04
30,125.8,0.767,0.48070,2.979e-04
31,130.0,0.6956,,2.977e-04
32,134.3,0.69297,,2.974e-04
33,138.5,0.68614,,2.970e-04
34,142.7,0.67183,,2.967e-04
35,148.5,0.65979,0.50506,2.963e-04
36,152.7,0.5982,,2.960e-04
37,156.9,0.61809,,2.956e-04
38,161.2,0.61149,,2.952e-04
39,165.8,0.58181,,2.947e-04
40,171.4,0.58803,0.51015,2.943e-04
41,175.5,0.59365,,2.938e-04
42,179.6,0.58504,,2.934e-04
43,183.6,0.58382,,2.929e-04
44,187.8,0.55675,,2.924e-04
45,192.7,0.55538,0.48404,2.918e-04
46,196.9,0.55822,,2.913e-04
47,201.2,0.54625,,2.907e-04
48,205.7,0.50749,,2.901e-04
49,210.8,0.54796,,2.895e-04
50,217.3,0.51912,0.51937,2.889e-04
51,221.8,0.56222,,2.883e-04
52,226.6,0.50247,,2.876e-04
53,231.3,0.50757,,2.870e-04
54,235.8,0.51398,,2.863e-04
55,242.1,0.5204,0.52579,2.856e-04
56,246.9,0.54045,,2.849e-04
57,251.7,0.50558,,2.842e-04
58,256.9,0.50588,,2.834e-04
59,262.3,0.49526,,2.826e-04
60,269.4,0.48172,0.53028,2.819e-04
61,274.1,0.46723,,2.811e-04
62,278.7,0.48508,,2.803e-04
63,283.3,0.47885,,2.794e-04
64,287.9,0.50143,,2.786e-04
65,294.2,0.48398,0.54535,2.777e-04
66,299.1,0.48452,,2.768e-04
67,304.2,0.47399,,2.760e-04
68,309.3,0.46034,,2.751e-04
69,314.3,0.45955,,2.741e-04
70,320.4,0.46977,0.54382,2.732e-04
71,325.3,0.43804,,2.722e-04
72,330.4,0.45275,,2.713e-04
73,335.4,0.44492,,2.703e-04
74,340.5,0.44265,,2.693e-04
75,346.6,0.47163,0.35407,2.683e-04
76,352.0,0.42082,,2.673e-04
77,357.6,0.44751,,2.662e-04
78,363.1,0.45318,,2.652e-04
79,368.4,0.44604,,2.641e-04
80,374.5,0.41716,0.52450,2.630e-04
81,378.8,0.42872,,2.619e-04
82,383.7,0.43105,,2.608e-04
83,388.6,0.40311,,2.597e-04
84,393.6,0.42831,,2.586e-04
85,399.7,0.40213,0.46573,2.574e-04
86,405.0,0.43848,,2.563e-04
87,410.4,0.4742,,2.551e-04
88,415.8,0.4214,,2.539e-04
89,421.2,0.39289,,2.527e-04
90,427.6,0.3958,0.53166,2.515e-04
91,432.6,0.46752,,2.503e-04
92,439.7,0.4233,,2.490e-04
