epoch,time,train_loss,val_dice,lr
1,11.3,1.47933,,1.516e-05
2,20.8,1.48719,,2.449e-05
3,30.4,1.31562,,3.959e-05
4,40.2,1.14574,,5.980e-05
5,51.1,1.05934,0.18868,8.422e-05
6,61.0,1.07775,,1.118e-04
7,71.1,0.94777,,1.413e-04
8,81.3,0.96152,,1.715e-04
9,91.6,0.95757,,2.009e-04
10,103.0,0.82616,0.38709,2.284e-04
11,113.2,0.86607,,2.528e-04
12,123.7,0.81915,,2.729e-04
13,134.0,0.71937,,2.878e-04
14,144.4,0.71695,,2.970e-04
15,155.8,0.7168,0.47383,3.000e-04
16,166.5,0.68178,,3.000e-04
17,177.2,0.63033,,3.000e-04
18,187.6,0.5976,,2.999e-04
19,197.8,0.56295,,2.999e-04
20,208.7,0.51367,0.37978,2.998e-04
21,219.1,0.59762,,2.997e-04
22,229.4,0.53002,,2.996e-04
23,239.8,0.53862,,2.994e-04
24,250.2,0.48309,,2.993e-04
25,261.1,0.48307,0.31875,2.991e-04
26,271.9,0.58722,,2.989e-04
27,282.3,0.45114,,2.987e-04
28,292.6,0.44498,,2.985e-04
29,302.9,0.47422,,2.982e-04
30,314.2,0.54039,0.49932,2.979e-04
31,324.6,0.49832,,2.977e-04
32,335.0,0.55008,,2.974e-04
33,345.3,0.45662,,2.970e-04
34,355.7,0.48441,,2.967e-04
35,366.9,0.48674,0.45548,2.964e-04
36,377.3,0.49406,,2.960e-04
37,387.7,0.41999,,2.956e-04
38,398.2,0.42221,,2.952e-04
39,408.7,0.39325,,2.948e-04
40,420.3,0.41192,0.51318,2.943e-04
41,430.8,0.45045,,2.939e-04
42,441.3,0.41236,,2.934e-04
43,451.8,0.432,,2.929e-04
44,462.3,0.43222,,2.924e-04
45,473.4,0.42498,0.49893,2.919e-04
46,483.8,0.45958,,2.913e-04
47,494.2,0.39951,,2.907e-04
48,504.6,0.40762,,2.902e-04
49,515.0,0.47865,,2.896e-04
50,526.5,0.45313,0.52020,2.890e-04
51,536.8,0.40335,,2.883e-04
52,547.2,0.35328,,2.877e-04
53,557.5,0.42904,,2.870e-04
54,567.8,0.48475,,2.863e-04
55,578.8,0.45829,0.49990,2.856e-04
56,589.1,0.44551,,2.849e-04
57,599.4,0.41566,,2.842e-04
58,609.7,0.49703,,2.834e-04
59,620.0,0.41976,,2.827e-04
60,631.0,0.39349,0.49563,2.819e-04
61,641.3,0.35822,,2.811e-04
62,651.6,0.36862,,2.803e-04
63,661.9,0.39039,,2.795e-04
64,672.2,0.38537,,2.786e-04
65,683.1,0.36368,0.50470,2.778e-04
66,693.4,0.42131,,2.769e-04
67,703.8,0.43272,,2.760e-04
68,714.0,0.4398,,2.751e-04
69,724.3,0.41239,,2.742e-04
70,735.3,0.36554,0.48552,2.732e-04
71,745.7,0.42791,,2.723e-04
72,756.0,0.43559,,2.713e-04
73,766.4,0.43497,,2.703e-04
74,776.7,0.38022,,2.694e-04
75,787.8,0.37756,0.51253,2.683e-04
76,798.0,0.36854,,2.673e-04
77,808.3,0.42929,,2.663e-04
78,818.5,0.34454,,2.652e-04
79,828.8,0.39855,,2.642e-04
80,839.7,0.34763,0.50744,2.631e-04
81,850.0,0.39377,,2.620e-04
82,860.3,0.38915,,2.609e-04
83,870.6,0.40794,,2.598e-04
84,881.0,0.3094,,2.586e-04
85,892.4,0.39715,0.52136,2.575e-04
86,902.6,0.28527,,2.563e-04
87,912.9,0.35559,,2.552e-04
88,923.1,0.34378,,2.540e-04
89,933.4,0.36796,,2.528e-04
90,944.2,0.32641,0.47962,2.516e-04
91,954.5,0.33242,,2.503e-04
92,964.8,0.36345,,2.491e-04
93,975.1,0.31543,,2.479e-04
94,985.5,0.37699,,2.466e-04
95,996.8,0.3321,0.54012,2.453e-04
96,1007.1,0.40217,,2.440e-04
97,1017.4,0.3828,,2.427e-04
98,1027.6,0.39632,,2.414e-04
99,1037.9,0.31334,,2.401e-04
100,1049.2,0.40065,0.55003,2.388e-04
101,1059.4,0.39532,,2.375e-04
102,1069.6,0.37636,,2.361e-04
103,1079.9,0.3635,,2.348e-04
104,1090.2,0.31492,,2.334e-04
105,1101.6,0.35858,0.55225,2.320e-04
106,1111.8,0.35913,,2.306e-04
107,1122.1,0.37122,,2.292e-04
108,1132.4,0.32528,,2.278e-04
109,1142.7,0.3195,,2.264e-04
110,1154.0,0.35506,0.55315,2.250e-04
111,1164.2,0.35003,,2.235e-04
112,1174.4,0.34909,,2.221e-04
113,1184.6,0.34994,,2.206e-04
114,1194.9,0.36004,,2.192e-04
115,1206.2,0.33168,0.58034,2.177e-04
116,1216.3,0.33169,,2.162e-04
117,1226.6,0.33726,,2.147e-04
118,1236.9,0.36025,,2.132e-04
119,1247.3,0.37283,,2.117e-04
120,1258.3,0.33136,0.55197,2.102e-04
121,1268.6,0.3565,,2.087e-04
122,1278.9,0.30121,,2.072e-04
123,1289.1,0.29067,,2.056e-04
124,1299.4,0.32585,,2.041e-04
125,1310.3,0.32493,0.55501,2.026e-04
126,1320.6,0.33293,,2.010e-04
127,1330.9,0.3271,,1.994e-04
128,1341.2,0.35493,,1.979e-04
129,1351.4,0.31003,,1.963e-04
130,1362.3,0.35083,0.55988,1.947e-04
131,1372.6,0.29755,,1.932e-04
132,1382.9,0.29742,,1.916e-04
133,1393.1,0.32541,,1.900e-04
134,1403.3,0.3418,,1.884e-04
135,1414.2,0.36212,0.50134,1.868e-04
136,1424.5,0.31095,,1.852e-04
137,1434.8,0.31767,,1.836e-04
138,1445.1,0.28119,,1.820e-04
139,1455.5,0.33529,,1.803e-04
140,1466.5,0.30521,0.56923,1.787e-04
141,1476.8,0.3135,,1.771e-04
142,1487.1,0.38503,,1.755e-04
143,1497.3,0.34993,,1.738e-04
144,1507.5,0.289,,1.722e-04
145,1518.7,0.29181,0.55634,1.706e-04
146,1528.9,0.31709,,1.689e-04
147,1539.2,0.30439,,1.673e-04
148,1549.5,0.352,,1.656e-04
149,1559.8,0.29163,,1.640e-04
150,1570.7,0.28048,0.55002,1.623e-04
151,1580.9,0.34052,,1.607e-04
152,1591.2,0.313,,1.590e-04
153,1601.5,0.27602,,1.574e-04
154,1611.7,0.27059,,1.557e-04
155,1622.7,0.29944,0.57396,1.541e-04
156,1632.9,0.30322,,1.524e-04
157,1643.1,0.29481,,1.508e-04
158,1653.4,0.29068,,1.491e-04
159,1663.6,0.29288,,1.475e-04
160,1674.6,0.32708,0.50525,1.458e-04
161,1684.8,0.30627,,1.442e-04
162,1695.0,0.34438,,1.425e-04
163,1705.2,0.34992,,1.409e-04
164,1715.4,0.31916,,1.392e-04
165,1726.3,0.3214,0.55781,1.376e-04
166,1736.5,0.29982,,1.359e-04
167,1746.7,0.29433,,1.343e-04
168,1757.1,0.28178,,1.326e-04
169,1767.3,0.31607,,1.310e-04
170,1778.3,0.3199,0.55643,1.294e-04
171,1788.5,0.28639,,1.277e-04
172,1798.9,0.2782,,1.261e-04
173,1809.1,0.28779,,1.245e-04
174,1819.3,0.28083,,1.228e-04
175,1830.6,0.2885,0.59124,1.212e-04
176,1840.8,0.31732,,1.196e-04
177,1851.1,0.31375,,1.180e-04
178,1861.4,0.32515,,1.164e-04
179,1871.6,0.32159,,1.147e-04
180,1882.5,0.30279,0.56796,1.131e-04
181,1892.7,0.2985,,1.115e-04
182,1902.9,0.27434,,1.099e-04
183,1913.3,0.28569,,1.083e-04
184,1923.5,0.31254,,1.068e-04
185,1934.6,0.28325,0.57443,1.052e-04
